YEAR,BRANCH,MONTH,CIRCULATION,COMPUTER_SESSIONS,VISITORS
2012,Lincoln Park,78,131883.0,29186.0,146111.0
2012,Little Village,78,137397.0,58002.0,162471.0
2012,Logan Square,78,166815.0,42999.0,181891.0
2012,Lozano,78,79020.0,53629.0,175853.0
2012,Manning,78,39005.0,29357.0,95948.0
2012,Mayfair,78,72003.0,17247.0,71208.0
2012,McKinley Park,78,103679.0,26608.0,120318.0
2012,Merlo,78,122224.0,21812.0,126589.0
2012,Mount Greenwood,78,83835.0,14523.0,89772.0
2012,Near North,78,152210.0,28804.0,159358.0
2012,North Austin,78,30266.0,23434.0,81819.0
2012,North Pulaski,78,69427.0,18185.0,85503.0
2012,Northtown,78,145148.0,30841.0,147213.0
2012,Oriole Park,78,119814.0,14588.0,106954.0
2012,Portage-Cragin,78,114825.0,19719.0,101836.0
2012,Pullman,78,25883.0,22424.0,80553.0
2012,Roden,78,83108.0,9455.0,104244.0
2012,Rogers Park,78,196863.0,50141.0,224982.0
2012,Roosevelt,78,85743.0,22347.0,115236.0
2012,Scottsdale,78,54344.0,18672.0,81518.0
2012,Sherman Park,78,20988.0,31332.0,66547.0
2012,South Chicago,78,50846.0,34423.0,110518.0
2012,South Shore,78,51046.0,22534.0,101449.0
2012,Sulzer Regional,78,615032.0,160355.0,554642.0
2012,Thurgood Marshall,78,40525.0,52094.0,151225.0
2012,Toman,78,123962.0,49476.0,104775.0
2012,Uptown,78,104178.0,30640.0,149748.0
2012,Vodak-East Side,78,65363.0,35833.0,101439.0
2012,Walker,78,44724.0,10741.0,64253.0
2012,West Belmont,78,123819.0,20952.0,127718.0
2012,West Chicago Avenue,78,22987.0,29789.0,66244.0
2012,West Englewood,78,25714.0,40993.0,91701.0
2012,West Lawn,78,89173.0,17089.0,108275.0
2012,West Pullman,78,42265.0,31204.0,97058.0
2012,West Town,78,118488.0,44089.0,140847.0
2012,"Whitney M. Young, Jr.",78,40079.0,42141.0,124491.0
2012,Woodson Regional,78,127502.0,168259.0,516044.0
2012,Wrightwood-Ashburn,78,42802.0,16510.0,85520.0
2013,Altgeld,78,9518.0,34407.0,63052.0
2013,Archer Heights,78,93854.0,24018.0,110419.0
2013,Austin,78,22947.0,26039.0,89762.0
2013,Austin-Irving,78,146943.0,23321.0,126397.0
2013,Avalon,78,58715.0,47359.0,124050.0
2013,Back of the Yards,42,20113.0,7491.0,23759.0
2013,Beverly,78,81042.0,32501.0,102975.0
2013,Bezazian,78,156844.0,32890.0,175006.0
2013,Blackstone,78,129742.0,32136.0,139554.0
2013,Brainerd,78,14031.0,21863.0,56516.0
2013,Brighton Park,78,76837.0,25599.0,82572.0
2013,Bucktown-Wicker Park,78,143740.0,26648.0,135970.0
2013,Budlong Woods,78,154085.0,28649.0,173389.0
2013,Canaryville,78,34058.0,18411.0,54427.0
2013,Chicago Bee,78,16617.0,19384.0,57931.0
2013,Chicago Lawn,78,62841.0,28702.0,87997.0
2013,Chinatown,78,123889.0,33152.0,235057.0
2013,Clearing,78,58650.0,16117.0,85359.0
2013,Coleman,78,42099.0,40375.0,108949.0
2013,"Daley, Richard J. - Bridgeport",78,88066.0,24477.0,97447.0
2013,"Daley, Richard M. - W. Humboldt",78,57346.0,70329.0,160754.0
2013,Douglass,78,27561.0,36613.0,117124.0
2013,Dunning,78,82464.0,26303.0,147673.0
2013,Edgebrook,78,111693.0,10615.0,103175.0
2013,Edgewater,63,119873.0,31755.0,125575.0
2013,Gage Park,78,29392.0,16362.0,55339.0
2013,Garfield Ridge,78,75119.0,15948.0,89551.0
2013,Greater Grand Crossing,78,34959.0,30666.0,70560.0
2013,Hall,78,26954.0,21294.0,70308.0
2013,Harold Washington Library Center,78,821749.0,391779.0,1529577.0
