,BRANCH,LOCATION,geometry,LATITUDE,LONGITUDE,list of dict
10,Brainerd,"(41.73244482025524, -87.65772892721816)","POLYGON ((-87.658729 41.747541, -87.662621 41.744337, -87.663729 41.744003, -87.665729 41.742016, -87.666729 41.741647, -87.669412 41.739128, -87.671729 41.738566, -87.673729 41.737418, -87.675313 41.735445, -87.673957 41.735216, -87.672729 41.734335, -87.670389 41.730785, -87.6696 41.730445, -87.670729 41.729147, -87.671729 41.729582, -87.672937 41.728445, -87.672354 41.727819, -87.672279 41.726445, -87.671729 41.725926, -87.671 41.726715, -87.670517 41.726657, -87.669729 41.725595, -87.667811 41.724362, -87.666729 41.72551, -87.663867 41.721307, -87.660403 41.719771, -87.657729 41.717248, -87.650729 41.721439, -87.649729 41.722491, -87.649435 41.724445, -87.648473 41.725445, -87.648311 41.727445, -87.645729 41.730747, -87.643729 41.730349, -87.640729 41.732407, -87.638757 41.734445, -87.640323 41.736445, -87.641778 41.737445, -87.641687 41.738487, -87.643729 41.739591, -87.645729 41.739276, -87.646729 41.73978, -87.655729 41.746453, -87.658729 41.747541))",41.73244482025524,-87.65772892721816,"[{17031720200: 8.906890183406971e-05, 17031730202: 0.5405964443206374, 17031730400: 0.1733626165618383, 17031730300: 1.0, 17031730201: 1.0, 17031720100: 0.15459650385701887, 17031711400: 0.9581623395544931, 17031711300: 1.0, 17031711100: 1.0, 17031711200: 0.4158688678856011, 17031710600: 0.179295392929174, 17031711500: 0.24522355122982156, 17031711000: 0.7217265846524495, 17031710900: 0.06476505267820397, 17031710800: 0.01992069266513934, 17031700502: 0.00733200519867111, 17031710700: 0.449289307191841}]"
11,Brighton Park,"(41.81516027827089, -87.70273371160454)","POLYGON ((-87.701734 41.829339, -87.703734 41.828474, -87.704734 41.829108, -87.706453 41.82688, -87.708806 41.82616, -87.712392 41.82316, -87.714012 41.822438, -87.714984 41.82116, -87.713734 41.820764, -87.713367 41.82016, -87.713734 41.818594, -87.715115 41.817541, -87.715416 41.815478, -87.715018 41.813876, -87.713734 41.813038, -87.713415 41.81016, -87.714734 41.808586, -87.715984 41.80891, -87.716734 41.81006, -87.717734 41.80993, -87.720062 41.80816, -87.718734 41.806626, -87.718765 41.805129, -87.71643 41.804464, -87.715734 41.8043, -87.715017 41.80616, -87.714097 41.806524, -87.713734 41.807297, -87.71341 41.80516, -87.712734 41.804484, -87.710951 41.803943, -87.709734 41.804419, -87.707422 41.803849, -87.706734 41.804349, -87.705734 41.80425, -87.706347 41.80316, -87.705929 41.801965, -87.703734 41.800052, -87.701898 41.80216, -87.700456 41.802883, -87.699854 41.804281, -87.698734 41.804697, -87.695422 41.804848, -87.69504 41.80516, -87.696019 41.805875, -87.695921 41.806348, -87.693734 41.806191, -87.683734 41.814484, -87.682808 41.81616, -87.686907 41.82016, -87.685607 41.82316, -87.686585 41.82416, -87.686639 41.82516, -87.689734 41.826029, -87.690734 41.825545, -87.691784 41.82611, -87.693734 41.825833, -87.694734 41.827868, -87.696558 41.825985, -87.700734 41.825994, -87.700734 41.826495, -87.698738 41.82716, -87.701734 41.829339))",41.81516027827089,-87.70273371160454,"[{17031630400: 0.0038858086336679538, 17031630300: 0.07715263660445887, 17031570400: 0.2843980775821047, 17031580400: 0.9775927312387958, 17031630600: 0.07620830049466115, 17031842800: 0.7595917447829326, 17031580800: 0.15043196209934426, 17031580502: 1.0, 17031580600: 1.0, 17031580700: 0.7899897396774637, 17031580501: 1.0, 17031580200: 0.5972533736678233, 17031610300: 0.008412249840587069, 17031570100: 0.07713654376629642, 17031580300: 0.5576219554783454, 17031580100: 0.300365466266659, 17031840300: 0.0022291995423241754}]"
12,Bucktown-Wicker Park,"(41.91235487836141, -87.68029967133904)","POLYGON ((-87.6773 41.925886, -87.678669 41.925724, -87.679939 41.923994, -87.6813 41.924168, -87.6823 41.925009, -87.684949 41.925706, -87.6863 41.92514, -87.6873 41.925623, -87.6883 41.925505, -87.690195 41.92425, -87.696254 41.922355, -87.697541 41.918596, -87.698459 41.917355, -87.698606 41.915355, -87.699649 41.914355, -87.698298 41.913355, -87.698983 41.912355, -87.697444 41.909211, -87.6823 41.89893, -87.6813 41.899234, -87.6793 41.898315, -87.6783 41.898469, -87.6773 41.897744, -87.6733 41.90027, -87.6723 41.900255, -87.6693 41.901627, -87.6673 41.901041, -87.6663 41.90189, -87.664979 41.902034, -87.66414 41.903355, -87.665154 41.904355, -87.665167 41.905355, -87.664018 41.906355, -87.6633 41.90865, -87.661441 41.909496, -87.660767 41.910355, -87.661825 41.911829, -87.6633 41.912521, -87.6643 41.912421, -87.664718 41.911355, -87.665408 41.911247, -87.665646 41.913009, -87.666321 41.913376, -87.664676 41.916355, -87.664824 41.916831, -87.6683 41.919272, -87.672451 41.919204, -87.672596 41.920355, -87.671652 41.921355, -87.671922 41.921733, -87.675183 41.923471, -87.6773 41.925886))",41.91235487836141,-87.68029967133904,"[{17031242200: 0.5379936480160458, 17031242500: 0.01683486150921472, 17031242400: 0.35977302724340404, 17031242300: 0.6276673075810518, 17031242600: 0.0004726246310471696, 17031240900: 0.006574879878087354, 17031241100: 0.869909889719234, 17031241200: 1.0, 17031241300: 1.0, 17031241000: 0.6618780094974434, 17031240800: 0.304864652895225, 17031240700: 1.0, 17031240600: 1.0, 17031240500: 1.0, 17031240300: 1.0, 17031831000: 1.0, 17031222200: 1.0, 17031222500: 0.3386823178342964, 17031832400: 1.0, 17031832200: 0.9535923175218951, 17031221300: 0.02647254954481909, 17031221400: 0.7139750237000191, 17031221500: 0.9095074232185643, 17031242100: 0.30377058481445146, 17031242000: 0.1322066695926471, 17031842300: 0.09311685447779602, 17031241400: 1.0, 17031241600: 0.7416642493771862, 17031241500: 1.0, 17031240200: 1.0, 17031832300: 0.712599521698412, 17031221600: 1.0, 17031830900: 0.04198820347649901}]"
13,Budlong Woods,"(41.98369797603738, -87.69631576617253)","POLYGON ((-87.697316 41.998805, -87.701243 41.997626, -87.702316 41.996635, -87.70353 41.996698, -87.706316 41.994822, -87.708316 41.994399, -87.709316 41.994762, -87.712396 41.993779, -87.712546 41.991698, -87.714049 41.990698, -87.712234 41.98878, -87.710296 41.987698, -87.714628 41.983698, -87.714983 41.982698, -87.713195 41.981818, -87.710316 41.979204, -87.708316 41.978292, -87.707623 41.979005, -87.707041 41.978972, -87.704958 41.977056, -87.70499 41.975698, -87.703216 41.974797, -87.702479 41.973698, -87.6995 41.971514, -87.698316 41.97125, -87.697316 41.972108, -87.696316 41.972291, -87.694316 41.970733, -87.693316 41.971225, -87.692316 41.971071, -87.690293 41.969675, -87.688903 41.970285, -87.688226 41.971608, -87.686139 41.973698, -87.681467 41.977698, -87.682264 41.978698, -87.682385 41.980768, -87.680316 41.981431, -87.678801 41.983183, -87.676804 41.983698, -87.67688 41.984134, -87.678011 41.986003, -87.681042 41.987698, -87.681219 41.988698, -87.681831 41.989183, -87.68339 41.989624, -87.684279 41.990735, -87.68667 41.991344, -87.687316 41.992654, -87.689316 41.994243, -87.694939 41.998075, -87.697316 41.998805))",41.98369797603738,-87.69631576617253,"[{17031040300: 0.7709257390688269, 17031831800: 0.128555164042634, 17031130300: 0.4251405727521251, 17031020701: 1.0, 17031130100: 0.058321963729135735, 17031020702: 0.7386866652585402, 17031020601: 0.04147538086210622, 17031040401: 0.3333379801653029, 17031040402: 0.0003886211438452806, 17031040201: 0.6899006624776298, 17031040202: 1.0, 17031040100: 0.5892379029144178, 17031020801: 1.0, 17031020802: 0.899418688310087, 17031020901: 0.1787774987215436, 17031020602: 0.03686063601989659}]"
14,Canaryville,"(41.81634394084193, -87.64256827550598)","POLYGON ((-87.641568 41.83049, -87.643568 41.831167, -87.646568 41.829611, -87.648149 41.827925, -87.649568 41.827243, -87.654269 41.823344, -87.654374 41.822149, -87.655568 41.822279, -87.656022 41.821797, -87.656784 41.82056, -87.65636 41.819344, -87.6569 41.818344, -87.656783 41.816344, -87.655887 41.814344, -87.656943 41.813344, -87.655568 41.809955, -87.65483 41.810606, -87.652257 41.810655, -87.652131 41.809907, -87.653289 41.809344, -87.653267 41.808344, -87.650568 41.806552, -87.649624 41.8074, -87.647465 41.807447, -87.647221 41.806691, -87.646387 41.806344, -87.646319 41.805095, -87.646895 41.804344, -87.645568 41.803022, -87.642568 41.801563, -87.641568 41.803747, -87.640487 41.803262, -87.639568 41.805665, -87.638568 41.805588, -87.637812 41.806344, -87.637568 41.808491, -87.636568 41.805737, -87.635568 41.807215, -87.634568 41.80694, -87.632325 41.808101, -87.630969 41.809744, -87.630636 41.815412, -87.630154 41.811758, -87.629568 41.810846, -87.627865 41.812641, -87.625568 41.813472, -87.622187 41.816344, -87.622643 41.817344, -87.629568 41.822304, -87.630675 41.820237, -87.631203 41.823709, -87.632261 41.824651, -87.634568 41.825654, -87.635568 41.826805, -87.637285 41.827627, -87.639568 41.829621, -87.641568 41.83049))",41.81634394084193,-87.64256827550598,"[{17031612200: 0.1256789081446153, 17031843800: 0.32038198115608824, 17031835600: 0.06458362428177082, 17031610800: 1.0, 17031844600: 0.3946096849360443, 17031842600: 0.6475475446160243, 17031835500: 0.9011104377380764, 17031380600: 0.2323269626621201, 17031839900: 0.5479440853525487, 17031340600: 0.17542018384061958, 17031840000: 0.2794627068109991, 17031839800: 0.008551945544202268, 17031839700: 0.0015818475780823055}]"
15,Chicago Bee,"(41.82824306445502, -87.6263495444489)","POLYGON ((-87.62635 41.843722, -87.62735 41.843594, -87.62938 41.842274, -87.637939 41.834833, -87.643226 41.831243, -87.643069 41.830243, -87.638977 41.827615, -87.637565 41.826243, -87.63835 41.825377, -87.640447 41.824341, -87.641001 41.823243, -87.639105 41.822487, -87.63835 41.821601, -87.63735 41.821894, -87.636147 41.821446, -87.635736 41.819857, -87.634144 41.818243, -87.62635 41.812681, -87.61735 41.818938, -87.615469 41.821363, -87.61235 41.82284, -87.61144 41.824243, -87.60935 41.825097, -87.608206 41.826243, -87.607564 41.828243, -87.610023 41.830243, -87.609273 41.831243, -87.61039 41.832243, -87.613411 41.834181, -87.614044 41.835243, -87.61635 41.835958, -87.61935 41.839263, -87.6221 41.840493, -87.62335 41.841895, -87.62535 41.842757, -87.62635 41.843722))",41.82824306445502,-87.6263495444489,"[{17031835800: 0.004656666308633482, 17031844600: 0.38688528444488285, 17031842600: 0.015839007395248395, 17031835500: 0.44454829458006256, 17031380600: 0.9329074837603191, 17031839900: 0.04398809768097363, 17031340600: 1.0, 17031351500: 1.0, 17031351400: 1.0, 17031839600: 1.0, 17031840000: 0.6342927384354362, 17031839800: 0.07524736322736993, 17031380200: 0.38573852029519495, 17031380100: 0.017812981822823152, 17031836500: 0.01670435183381208, 17031351100: 1.0, 17031360200: 0.7321375670028607, 17031351000: 0.2550175957463584, 17031340500: 0.9656786660874531, 17031842000: 0.9991810107850371, 17031839500: 0.9593912252370603, 17031340400: 0.2424973528633868, 17031350400: 0.6309640266940165, 17031839200: 0.33453025385281776}]"
16,Chicago Lawn,"(41.7819767986214, -87.7033680880769)","POLYGON ((-87.703368 41.797565, -87.704368 41.797289, -87.711004 41.791977, -87.711039 41.790648, -87.713368 41.790171, -87.713767 41.789376, -87.717648 41.786977, -87.721824 41.783433, -87.722993 41.781977, -87.720728 41.778977, -87.715368 41.77541, -87.712368 41.772865, -87.709861 41.771484, -87.709003 41.770342, -87.708368 41.770025, -87.707701 41.77031, -87.705235 41.77011, -87.704149 41.768977, -87.703771 41.766977, -87.703 41.766609, -87.701891 41.7675, -87.701508 41.769117, -87.700368 41.768291, -87.699368 41.768504, -87.698209 41.769818, -87.691135 41.774977, -87.690593 41.775977, -87.686368 41.778904, -87.684489 41.780977, -87.684743 41.781977, -87.683817 41.782977, -87.688322 41.786977, -87.689368 41.787266, -87.691368 41.789228, -87.694368 41.790893, -87.703368 41.797565))",41.7819767986214,-87.7033680880769,"[{17031660900: 0.1501361541310682, 17031660800: 0.5142409870284103, 17031650302: 0.27387578601969825, 17031660500: 0.9697574690186711, 17031650200: 0.00023235641415443248, 17031650100: 0.851529451110608, 17031660400: 1.0, 17031660600: 0.7442202824766802, 17031660301: 1.0, 17031835000: 0.5493883375001218, 17031660302: 1.0, 17031630800: 0.9022918202262772, 17031835100: 0.11241608716298097, 17031630400: 0.16499295106729062, 17031620400: 0.15360251372915878, 17031630900: 0.8841999893792021, 17031630300: 0.1129646771020797}]"
17,Chinatown,"(41.85412074173438, -87.63195792246246)","POLYGON ((-87.629958 41.86911, -87.630958 41.868975, -87.632627 41.867121, -87.630799 41.865121, -87.630869 41.861121, -87.631792 41.860955, -87.631908 41.860071, -87.632118 41.860961, -87.634297 41.861121, -87.634958 41.862719, -87.635619 41.861121, -87.636493 41.860656, -87.637021 41.859058, -87.637491 41.862588, -87.638315 41.863121, -87.638958 41.86454, -87.640003 41.864165, -87.642548 41.860711, -87.644952 41.860121, -87.646958 41.858733, -87.647956 41.856121, -87.65237 41.853121, -87.652527 41.852121, -87.651158 41.850921, -87.648958 41.850717, -87.648316 41.850121, -87.647948 41.848121, -87.648621 41.846784, -87.649515 41.846121, -87.647582 41.845497, -87.646958 41.844534, -87.645958 41.844469, -87.645001 41.845164, -87.645122 41.846121, -87.64452 41.846121, -87.643884 41.845121, -87.639958 41.842246, -87.634958 41.840888, -87.631958 41.838902, -87.631277 41.84044, -87.631052 41.843215, -87.629958 41.839532, -87.628958 41.842329, -87.627958 41.841776, -87.627032 41.842195, -87.623958 41.844701, -87.622535 41.845121, -87.61907 41.848233, -87.617532 41.848695, -87.617407 41.850121, -87.616202 41.852121, -87.616178 41.853121, -87.617382 41.854697, -87.617633 41.858446, -87.617982 41.859121, -87.619857 41.860121, -87.619333 41.861121, -87.619538 41.862121, -87.620552 41.862527, -87.620958 41.86343, -87.625763 41.867121, -87.626958 41.867898, -87.628958 41.867804, -87.629958 41.86911))",41.85412074173438,-87.63195792246246,"[{17031843200: 0.16736809614675138, 17031600400: 0.09864433183968695, 17031340400: 0.732887961733552, 17031350400: 0.5234774176865462, 17031839200: 0.10600290136231702, 17031840100: 0.4479307411099571, 17031340300: 0.7313225567354467, 17031840200: 0.2559263944531236, 17031841100: 1.0, 17031310400: 0.06298987431921911, 17031310300: 0.4420732534553198, 17031310200: 0.9790045884013696, 17031330103: 1.0, 17031330200: 0.746567666397452, 17031330102: 0.8269660257276763, 17031841900: 0.10695843461114603, 17031839000: 0.07663881973166922, 17031841000: 0.6565554780587757, 17031330101: 0.10950166071816925, 17031320600: 0.004289133143657965}]"
18,Clearing,"(41.776652677565934, -87.78218757614671)","POLYGON ((-87.781188 41.791259, -87.782188 41.791589, -87.786246 41.787653, -87.789188 41.785937, -87.789988 41.784653, -87.791188 41.784364, -87.792188 41.781483, -87.793505 41.781653, -87.793043 41.782653, -87.79462 41.782653, -87.796239 41.781704, -87.796675 41.78014, -87.798818 41.778283, -87.800911 41.778376, -87.801956 41.777653, -87.801048 41.774653, -87.798188 41.772953, -87.796984 41.772856, -87.796188 41.771393, -87.794865 41.77133, -87.794188 41.772817, -87.793736 41.771104, -87.792188 41.769945, -87.790188 41.769853, -87.789188 41.770773, -87.787188 41.770756, -87.786955 41.769885, -87.786081 41.769759, -87.780356 41.769822, -87.780075 41.770765, -87.779188 41.769868, -87.774474 41.769939, -87.774188 41.770821, -87.772188 41.770906, -87.771188 41.771853, -87.76962 41.771221, -87.768836 41.771302, -87.768185 41.771651, -87.76806 41.772525, -87.766188 41.773396, -87.761727 41.776653, -87.761585 41.777653, -87.771188 41.784614, -87.772472 41.784937, -87.773478 41.784653, -87.773031 41.785653, -87.776188 41.787502, -87.778188 41.789302, -87.779414 41.789426, -87.781188 41.791259))",41.776652677565934,-87.78218757614671,"[{17031820502: 0.8675890041587764, 17031640500: 0.9938602820905119, 17031640400: 0.715998895840886, 17031820400: 0.26892546676192347, 17031561000: 0.19632674327227587, 17031640600: 0.9482623212212933, 17031640700: 0.0006277928979812921, 17031640300: 0.7297335723783054, 17031561100: 0.20059574628848115}]"
19,Coleman,"(41.78028267185317, -87.60712228979007)","POLYGON ((-87.606122 41.795166, -87.607211 41.794371, -87.608122 41.794248, -87.609122 41.792882, -87.61003 41.793375, -87.610811 41.793283, -87.610399 41.792006, -87.60895 41.791455, -87.610011 41.790171, -87.611122 41.790836, -87.613122 41.791088, -87.615122 41.790524, -87.618122 41.787361, -87.622789 41.784283, -87.625122 41.782072, -87.625609 41.780769, -87.627614 41.780283, -87.625888 41.779517, -87.625122 41.778011, -87.624391 41.778552, -87.623062 41.778343, -87.619122 41.775943, -87.618404 41.776564, -87.61806 41.779345, -87.617894 41.775283, -87.616916 41.774076, -87.618039 41.773283, -87.616122 41.772615, -87.615122 41.77097, -87.614122 41.770654, -87.614122 41.769263, -87.613122 41.769074, -87.612122 41.769678, -87.610122 41.767727, -87.608122 41.767423, -87.606122 41.765619, -87.605122 41.765486, -87.604538 41.766283, -87.604882 41.767283, -87.604243 41.772403, -87.602236 41.772283, -87.601122 41.770975, -87.600122 41.770582, -87.599122 41.770574, -87.598122 41.771715, -87.597122 41.771256, -87.596858 41.772283, -87.595979 41.77314, -87.590442 41.777602, -87.588661 41.778283, -87.58825 41.779411, -87.586158 41.780283, -87.588122 41.781933, -87.58938 41.782025, -87.590122 41.783721, -87.593498 41.785907, -87.595756 41.788283, -87.599448 41.790957, -87.605372 41.794033, -87.606122 41.795166))",41.78028267185317,-87.60712228979007,"[{17031690900: 0.0027940129571907145, 17031690400: 0.01127992545156044, 17031841800: 0.12065479918625756, 17031690500: 0.3132033690125587, 17031421200: 1.0, 17031843900: 0.06372073024085265, 17031420700: 1.0, 17031420800: 1.0, 17031842500: 0.32264089818404673, 17031400800: 0.8511666167835699, 17031834500: 0.12945511844509194, 17031400400: 0.06913506051873798, 17031834400: 0.9326379327031439, 17031420600: 1.0, 17031420500: 1.0, 17031420400: 1.0, 17031420100: 0.08942227482344128, 17031420300: 1.0, 17031420200: 0.8676355274456932, 17031836200: 0.653224846593761, 17031411200: 0.08783755171991685, 17031400300: 0.38008289664172246, 17031410500: 0.0010205561222595275}]"
20,"Daley, Richard J. - Bridgeport","(41.8327976771251, -87.64629980794813)","POLYGON ((-87.6453 41.84807, -87.6463 41.848463, -87.646913 41.847411, -87.648055 41.846798, -87.64779 41.845798, -87.648171 41.845668, -87.6513 41.845671, -87.6533 41.844584, -87.655277 41.844775, -87.655666 41.843164, -87.65653 41.842798, -87.659215 41.838713, -87.6613 41.837793, -87.661918 41.836798, -87.661054 41.836044, -87.661082 41.834016, -87.6603 41.834046, -87.66003 41.833528, -87.6613 41.833735, -87.661948 41.833446, -87.662701 41.832798, -87.661987 41.83211, -87.662086 41.831584, -87.664264 41.830798, -87.6633 41.829442, -87.6613 41.828898, -87.6593 41.826759, -87.6583 41.827976, -87.657708 41.826389, -87.656122 41.825975, -87.655698 41.824399, -87.654426 41.823798, -87.653914 41.822798, -87.651986 41.822111, -87.6513 41.82094, -87.6503 41.820824, -87.649509 41.822007, -87.646972 41.822126, -87.647732 41.819365, -87.6463 41.817291, -87.6453 41.817305, -87.642197 41.819798, -87.641792 41.820798, -87.640915 41.821413, -87.640463 41.822961, -87.6383 41.822812, -87.6353 41.825617, -87.632857 41.826798, -87.632526 41.828023, -87.6313 41.827895, -87.630477 41.829975, -87.630023 41.830074, -87.6293 41.829458, -87.628155 41.830798, -87.629752 41.832798, -87.6293 41.833875, -87.628527 41.834025, -87.628096 41.834798, -87.629912 41.835798, -87.632309 41.838789, -87.6383 41.842429, -87.6423 41.84575, -87.645199 41.846798, -87.644935 41.847798, -87.6453 41.84807))",41.8327976771251,-87.64629980794813,"[{17031842600: 0.10819108333215718, 17031839900: 0.9692121694380548, 17031340600: 0.47797421587187805, 17031351500: 0.025702174913635606, 17031840000: 0.9903321392510893, 17031839800: 1.0, 17031590700: 0.15267674537692616, 17031839700: 0.9839412466905463, 17031840400: 0.12810517142770406, 17031600900: 1.0, 17031600700: 0.19544289976682586, 17031600600: 0.5736315850414473, 17031340500: 0.9381558528728119, 17031842000: 0.0490146433384708, 17031600400: 0.9990168394345408, 17031340400: 0.06865330754220336, 17031840100: 0.6915075149878586, 17031340300: 0.23702425322319828, 17031840200: 0.5790293422387119}]"
21,"Daley, Richard M. - W. Humboldt","(41.894726658545295, -87.7063841773407)","POLYGON ((-87.706384 41.910264, -87.707384 41.910255, -87.710384 41.90816, -87.712384 41.907912, -87.715384 41.905493, -87.718384 41.90499, -87.720414 41.903756, -87.720737 41.902727, -87.72038 41.901727, -87.721061 41.899727, -87.726172 41.895727, -87.724848 41.893262, -87.723384 41.891822, -87.706384 41.879107, -87.699145 41.883727, -87.696188 41.886531, -87.697006 41.888105, -87.698384 41.888438, -87.698472 41.888814, -87.692384 41.88914, -87.691159 41.889727, -87.691492 41.890834, -87.690101 41.89101, -87.689384 41.890388, -87.688259 41.890727, -87.688747 41.893089, -87.686758 41.895727, -87.691384 41.899637, -87.695384 41.902229, -87.698384 41.90609, -87.700384 41.906436, -87.700618 41.907493, -87.701384 41.907875, -87.704384 41.907523, -87.704245 41.908727, -87.706384 41.910264))",41.894726658545295,-87.7063841773407,"[{17031837000: 0.0037931002909066093, 17031270500: 0.00019740333106594234, 17031271300: 0.07861786501105517, 17031271200: 0.0631076415610389, 17031836900: 0.813450900197541, 17031836800: 0.518291391261465, 17031837100: 0.5711301675572316, 17031836700: 0.9641704265434211, 17031242800: 0.625858751786626, 17031242900: 0.0001655892242399802, 17031242700: 1.0, 17031242500: 0.26151846119538935, 17031242400: 5.1832926607295024e-05, 17031842100: 4.042844072172879e-05, 17031231500: 0.783013211099058, 17031231200: 0.6243594611264535, 17031231100: 1.0, 17031836600: 1.0, 17031230700: 0.11005338438479982, 17031230800: 0.5211980536335244, 17031230900: 0.7483355188883685, 17031230200: 0.0029004765288483756, 17031242600: 0.6192011229571813, 17031240900: 0.759297273878248, 17031230100: 0.0035702519620350636}]"
22,Douglass,"(41.86441239309047, -87.71017465670012)","POLYGON ((-87.711175 41.879427, -87.715613 41.876412, -87.717603 41.874412, -87.720175 41.873243, -87.721175 41.871956, -87.723562 41.870412, -87.724175 41.869366, -87.726195 41.868433, -87.728502 41.866412, -87.728074 41.865412, -87.729504 41.864412, -87.724486 41.859101, -87.718703 41.854884, -87.718408 41.854412, -87.71893 41.853412, -87.71851 41.853077, -87.714175 41.850995, -87.713175 41.851059, -87.711175 41.850193, -87.707175 41.851399, -87.706295 41.852533, -87.705175 41.852356, -87.701238 41.855476, -87.699847 41.85574, -87.699171 41.855412, -87.698582 41.856412, -87.699452 41.857135, -87.699315 41.858553, -87.697175 41.85889, -87.696175 41.8586, -87.695175 41.85954, -87.693644 41.861412, -87.693417 41.863412, -87.692086 41.864412, -87.691111 41.866412, -87.691969 41.866618, -87.693175 41.868172, -87.694175 41.868047, -87.694915 41.869412, -87.70007 41.873412, -87.702175 41.874014, -87.703175 41.875022, -87.704369 41.875218, -87.705175 41.876496, -87.706175 41.87681, -87.707175 41.876112, -87.707591 41.877412, -87.711175 41.879427))",41.86441239309047,-87.71017465670012,"[{17031843300: 0.4150729792967563, 17031838600: 1.0, 17031271800: 0.6451853451301912, 17031837400: 0.010173733630323657, 17031840700: 0.00010125459637026628, 17031291600: 0.0006124245839969971, 17031843100: 0.8941036982791539, 17031300600: 0.0021440875551222097, 17031300800: 0.0650553037532603, 17031300700: 0.1350716020080754, 17031841700: 0.4171117094203241, 17031844700: 0.9040377727509437, 17031292400: 0.17925492858186262, 17031292200: 0.9338282156488235, 17031841500: 1.0, 17031290900: 0.15213010012619288, 17031838700: 0.9962448971303154, 17031291200: 1.0, 17031843000: 0.6077845977276404, 17031260900: 0.4494797288084626, 17031837300: 0.9998192776841877, 17031271500: 1.0, 17031270500: 0.3483307554114231, 17031271400: 0.5957008806607796, 17031271300: 0.5651173334692227, 17031271200: 0.18547959874044684}]"
23,Dunning,"(41.94319949471892, -87.81395164414246)","POLYGON ((-87.811952 41.957416, -87.812952 41.957659, -87.813952 41.956865, -87.814952 41.958066, -87.819952 41.955116, -87.822991 41.952199, -87.821549 41.951602, -87.819702 41.951449, -87.819593 41.949199, -87.820711 41.947959, -87.821952 41.947783, -87.822952 41.946737, -87.824952 41.946593, -87.826762 41.948199, -87.826952 41.949469, -87.832496 41.945199, -87.832246 41.944199, -87.833378 41.941773, -87.833399 41.941199, -87.830952 41.939938, -87.826952 41.936624, -87.813952 41.92798, -87.810952 41.929429, -87.800699 41.937199, -87.798755 41.939199, -87.798364 41.940199, -87.799952 41.941487, -87.800033 41.942281, -87.799302 41.94255, -87.798952 41.94368, -87.797952 41.943398, -87.79579 41.945199, -87.797539 41.947199, -87.802687 41.950464, -87.804696 41.952199, -87.804664 41.953199, -87.806011 41.95514, -87.810952 41.956612, -87.811952 41.957416))",41.94319949471892,-87.81395164414246,"[{17031811100: 0.025991612596700634, 17031810701: 0.6394223749298682, 17031810800: 1.0, 17031180100: 0.1623924524779272, 17031170900: 1.0, 17031170600: 0.616861900925852, 17031170700: 1.0, 17031170800: 1.0, 17031171000: 0.40131790948821827, 17031170400: 1.0, 17031170300: 0.32460875957998586, 17031170500: 0.25338893145354746, 17031170100: 0.030068381200892395, 17031810501: 0.06195841892963496, 17031810502: 1.0}]"
