,Branch,Percent of People with Internet Access,Percent of People without Internet Access,Percent of People with Computers,Percent of People without Computers,Percent of People with Computers and Internet,Percent Population in Labor Force 16+: Employed,Percent Population in Labor Force 16+: Unemployed,"Percent Households: Less Than $10,000","Percent Households: $10,000 to $14,999","Percent Households: $15,000 to $19,999","Percent Households: $20,000 to $24,999","Percent Households: $25,000 to $29,999","Percent Households: $30,000 to $34,999","Percent Households: $35,000 to $39,999","Percent Households: $40,000 to $44,999","Percent Households: $45,000 to $49,999","Percent Households: $50,000 to $59,999","Percent Households: $60,000 to $74,999","Percent Households: $75,000 to $99,999","Percent Households: $100,000 to $124,999","Percent Households: $125,000 to $149,999","Percent Households: $150,000 to $199,999","Percent Households: $200,000 or more",Percent Ages 18-64: Living in Poverty,Percent Ages 18-64: At or Above Poverty Level,Percent Households: With Public Assistance Income,Percent Households: No Public Assistance Income,Percent Owner and Renter Occupied Housing: No Vehicles,Percent Owner and Renter Occupied Housing: 1 Vehicle,Percent Owner and Renter Occupied Housing: 2 Vehicles,Percent Owner and Renter Occupied Housing: 3 Vehicles,Percent Owner and Renter Occupied Housing: 4 Vehicles,Percent Owner and Renter Occupied Housing: 5 or More Vehicles,Percent Renter-Occupied Housing: No Vehicles,Percent Renter-Occupied Housing: 1 Vehicle,Percent Renter-Occupied Housing: 2 Vehicles,Percent Renter-Occupied Housing: 3 Vehicles,Percent Renter-Occupied Housing: 4 Vehicles,Percent Renter-Occupied Housing: 5 or More Vehicles,"Percent Workers 16+: Car, Truck, or Van ",Percent Workers 16+: Drove Alone,Percent Workers 16+: Carpooled,Percent Workers 16+: Public Transportation (Includes Taxi),Percent Workers 16+: Motorcycle,Percent Workers 16+: Bicycle,Percent Workers 16+: Walked,Percent Workers 16+: Other Means,Percent: White Alone,Percent: Black or African American Alone,Percent: American Indian and Alaska Native Alone,Percent: Asian Alone,Percent: Native Hawaiian and Other Pacific Islander Alone,Percent: Some Other Race Alone,Percent: Two or More Races,Percent: under 5 years,Percent: 5 to 9 years,Percent: 10 to 14 years,Percent: 15 to 19 years,Percent: 20 to 24 years,Percent: 25 to 29 years,Percent: 30 to 34 years,Percent: 35 to 39 years,Percent: 50 to 54 years,Percent: 55 to 59 years,Percent: 60 to 64 years,Percent: 65 to 69 years,Percent: 70 to 74 years,Percent: 75 to 79 years,Percent: 80 to 84 years,Percent: 85 years and over,Percent: 25+ Less Than High School,Percent: 25+ High School or More,Percent: 25+ Some College or More,Percent: 25+ Bachelor's Degree or More,Percent: 25+ Master's Degree or More,Percent: 25+ Professional School Degree or More,Percent: 25+ Doctorate Degree
82,average,0.8527781606947582,0.13471315330572234,0.8815842565195062,0.09382036768682661,0.8233276338254503,0.8975801407350327,0.10241985926496729,0.09381559205292499,0.04966540437572998,0.04714476482869256,0.05003932096187034,0.04555734093806483,0.04370386915014401,0.037118391700906826,0.037522687264744545,0.031653434566351606,0.06617107243668077,0.08432613570077807,0.11395401499757876,0.08315336153261632,0.05775322377965204,0.07048247560008897,0.08793891011317398,0.16728305736325372,0.8327169426367462,0.037751641788788017,0.9622483582112119,0.24130629526144734,0.43064490028112284,0.23950504979151674,0.06291248825484297,0.018923466783310392,0.006707799627759309,0.34670683188559304,0.4565386174370663,0.1584531502047511,0.028897756003965883,0.007007847307347081,0.0023957971612763316,0.6034380102720788,0.5196032041305235,0.08383480614155513,0.22373656732627745,0.0005219208341455014,0.011324672759706318,0.04637293149110312,0.010620895996914612,0.41892079312297054,0.342341889254375,0.004564306407386552,0.06413468551047588,0.0003616499330156893,0.10130595735939461,0.0683707184123813,0.0601656296893264,0.05618539004552786,0.06151990768143377,0.06003448985539691,0.07062643018852528,0.09555834885956899,0.0885306860642183,0.0736514643399698,0.05945833574884891,0.06009728306664981,0.0555332592361064,0.04480360173527489,0.03432576422523194,0.02312690613517804,0.014698938729037684,0.016693671565617806,0.1457831715382108,0.8542168284617891,0.6127491420592254,0.3653471799860844,0.15291030376672388,0.04548269411326961,0.01624726699436476
83,no library,0.8569512585457035,0.133783310102086,0.8981439275089659,0.0925906411388234,0.830900686932666,0.9232217445154058,0.0767782554845942,0.0719685775649813,0.0358863129607641,0.0420920619244922,0.0437763925718988,0.0451248128851458,0.0417780769977901,0.0368016410649515,0.0439972104261321,0.0359222553634636,0.0783445822804222,0.0946587647600055,0.1322328646051436,0.1008451330346491,0.0661436079057058,0.0643706780594037,0.0660570275950493,0.12287039304179,0.8771296069582101,0.0300254537468275,0.9699745462531724,0.1183624037550405,0.3979344162248744,0.3274409825654527,0.1081391780620411,0.0337290871708607,0.0143939322217302,0.2246187100476157,0.4889825350775891,0.2197188490640095,0.0499238261540397,0.0103188900303574,0.0064371896263882,0.7967370925621236,0.7027069132447377,0.0940301793173857,0.1039291340655185,0.000186657536353,0.0038248688833215,0.0205791276959838,0.0086500403950015,0.5060294786689841,0.2317372737607153,0.0059205998106398,0.040293008165688,0.0003418453563731,0.1403785178657737,0.0752992763718257,0.0618816468853499,0.0685945615565232,0.0727962906392173,0.0641786540729952,0.0623432701164886,0.0644178111241224,0.0739900819653894,0.070573942498334,0.0628183371719372,0.0662040070401574,0.0584385225709091,0.0492434499842004,0.0378460830809005,0.023903104526594,0.0169027756947349,0.0200896073561133,0.1586644027317221,0.8413355972682779,0.5625881943681755,0.26953712944954,0.0993464633167489,0.0241393024313514,0.0075362720529489
84,avg minus no library,-0.004173097850945329,0.0009298432036363435,-0.01655967098945965,0.0012297265480032127,-0.007573053107215788,-0.025641603780373168,0.025641603780373085,0.021847014487943683,0.013779091414965881,0.00505270290420036,0.006262928389971535,0.00043252805291903174,0.0019257921523539098,0.00031675063595532765,-0.006474523161387552,-0.004268820797111994,-0.012173509843741423,-0.010332629059227424,-0.018278849607564845,-0.017691771502032785,-0.008390384126053758,0.006111797540685263,0.021881882518124673,0.04441266432146372,-0.044412664321463846,0.007726188041960517,-0.007726188041960458,0.12294389150640685,0.032710484056248434,-0.08793593277393594,-0.04522668980719813,-0.014805620387550306,-0.007686132593970891,0.12208812183797735,-0.03244391764052279,-0.06126569885925842,-0.02102607015007382,-0.0033110427230103184,-0.004041392465111869,-0.19329908229004478,-0.18310370911421414,-0.01019537317583058,0.11980743326075895,0.0003352632977925014,0.007499803876384818,0.02579380379511932,0.001970855601913112,-0.08710868554601353,0.11060461549365969,-0.0013562934032532482,0.023841677344787877,1.9804576642589312e-05,-0.0390725605063791,-0.006928557959444387,-0.0017160171960235032,-0.01240917151099534,-0.011276382957783534,-0.004144164217598285,0.00828316007203668,0.03114053773544659,0.014540604098828888,0.0030775218416358024,-0.003360001423088295,-0.0061067239735075884,-0.0029052633348026977,-0.004439848248925515,-0.0035203188556685583,-0.0007761983914159575,-0.0022038369656972156,-0.0033959357904954947,-0.012881231193511311,0.012881231193511256,0.05016094769104984,0.0958100505365444,0.053563840449974975,0.021343391681918213,0.008710994941415862
