lib_name,total_population,total_male,total_female,under_5_years,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,work_from_home,hh_social_security,hh_foodstamps_snap,occupied_units,occupied_units_owner,occupied_units_no_vehicle,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,median_age,perc_hh_w_children,avg_household_size,avg_family_size,unemployment_rate,median_hh_income_d,average_hh_income_d,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,occupied_median_rent_d,share_men,share_women
Kelly,19908.0,9275.0,10633.0,1283.0,13958.0,2835.0,632.0,18501.0,62.0,126.0,0.0,175.0,412.0,706.0,10904.0,8498.0,19385.0,6934.0,5586.0,1408.0,19237.0,671.0,17453.0,424.0,8498.0,7181.0,6322.0,262.0,2439.0,4177.0,8498.0,1330.0,4570.0,213.0,265.0,36.58888888888889,35.41111111111111,2.3744444444444444,3.522222222222222,22.077777777777776,22471.5,36088.555555555555,15584.666666666666,41.7,44.24444444444444,1379.3333333333333,613.8,835.2222222222222,0.4658931082981716,0.5341068917018285
King,24132.0,11374.0,12758.0,1095.0,20508.0,4597.0,2891.0,16694.0,107.0,2896.0,0.0,589.0,955.0,1183.0,13442.0,12287.0,21855.0,4502.0,7080.0,7431.0,19446.0,4686.0,18144.0,1716.0,12287.0,11057.0,9909.0,1279.0,3876.0,3450.0,12287.0,2768.0,5004.0,667.0,139.0,40.52727272727273,18.536363636363635,1.9145454545454543,2.9299999999999997,14.9,45271.3,68837.09090909091,34038.09090909091,17.79090909090909,29.136363636363637,2190.6666666666665,893.3333333333334,917.6363636363636,0.47132438256257253,0.5286756174374275
Legler Regional,30130.0,14742.0,15388.0,2298.0,22217.0,3696.0,1078.0,28028.0,23.0,125.0,10.0,499.0,367.0,934.0,13154.0,10563.0,29278.0,10451.0,7592.0,1596.0,29724.0,406.0,26875.0,287.0,10563.0,9014.0,8317.0,566.0,3377.0,5321.0,10563.0,2733.0,3728.0,687.0,240.0,35.57333333333334,32.37333333333333,2.791333333333333,3.692,22.433333333333334,31439.64285714286,43962.666666666664,16729.2,28.98,34.46666666666667,1588.857142857143,732.8181818181819,1022.4,0.4892797875871225,0.5107202124128776
Lincoln Belmont,49891.0,25357.0,24534.0,4307.0,39161.0,2990.0,40425.0,1553.0,75.0,3152.0,54.0,977.0,3655.0,5806.0,23097.0,20827.0,49764.0,11672.0,10779.0,28851.0,45014.0,4877.0,39564.0,1263.0,20827.0,20219.0,19727.0,7513.0,1962.0,721.0,20827.0,11107.0,3371.0,1350.0,338.0,32.476190476190474,29.152380952380955,2.4038095238095236,3.025714285714286,3.7285714285714286,148101.85714285713,210799.52380952382,88835.14285714286,1.8904761904761902,5.633333333333333,3526.2380952380954,1319.6190476190477,1832.952380952381,0.508247980597703,0.491752019402297
Lincoln Park,41136.0,21083.0,20053.0,2011.0,34641.0,3321.0,34616.0,1200.0,7.0,2873.0,2.0,770.0,1668.0,2504.0,18801.0,17200.0,37814.0,6943.0,11398.0,23279.0,35741.0,5395.0,33585.0,1070.0,17200.0,16614.0,15862.0,4697.0,2040.0,502.0,17200.0,8149.0,4909.0,1020.0,283.0,29.816666666666666,19.816666666666666,2.2241666666666666,2.975,3.658333333333333,160207.58333333334,228354.58333333334,95567.91666666667,1.5166666666666666,8.65,3843.2727272727275,1359.1666666666667,1925.25,0.5125194476857254,0.4874805523142746
Little Italy,17705.0,8571.0,9134.0,802.0,15728.0,1430.0,8124.0,3507.0,107.0,4470.0,17.0,510.0,970.0,2010.0,6746.0,5850.0,13313.0,2402.0,8487.0,6653.0,13548.0,4157.0,11125.0,1621.0,5850.0,5497.0,5409.0,1287.0,751.0,446.0,5850.0,2555.0,1965.0,341.0,307.0,25.816666666666666,17.916666666666668,2.3733333333333335,3.03,10.549999999999999,74827.5,120323.66666666667,39741.0,4.1,24.883333333333336,2826.3333333333335,1057.6666666666667,1648.8333333333333,0.48410053657158997,0.5158994634284101
Little Village,40914.0,25466.0,15448.0,2005.0,32431.0,3743.0,13763.0,8592.0,199.0,233.0,0.0,14091.0,4036.0,29049.0,11253.0,9875.0,31113.0,11198.0,8846.0,3128.0,27620.0,13294.0,13551.0,12425.0,9875.0,8838.0,7775.0,736.0,2215.0,2442.0,9875.0,3578.0,1940.0,814.0,508.0,34.37,39.47,3.109,3.779,8.28,45907.0,56054.2,17361.5,21.64,26.96,1678.2222222222222,634.2,955.8,0.622427530918512,0.377572469081488
Logan Square,68527.0,34072.0,34455.0,3940.0,56999.0,5714.0,43935.0,3781.0,468.0,3309.0,27.0,7061.0,9946.0,28587.0,32374.0,29227.0,68190.0,15801.0,13519.0,26521.0,55160.0,13367.0,38252.0,10524.0,29227.0,27317.0,25759.0,7320.0,4293.0,3181.0,29227.0,10578.0,6361.0,1946.0,442.0,32.95909090909091,21.272727272727273,2.3781818181818184,3.212727272727273,4.545454545454546,83812.86363636363,110836.0,48658.954545454544,8.872727272727273,11.877272727272727,2586.7727272727275,943.2272727272727,1444.2272727272727,0.49720548105126444,0.5027945189487355
Lozano,34100.0,16813.0,17287.0,1920.0,27288.0,3784.0,14142.0,4663.0,373.0,1455.0,0.0,8966.0,4501.0,19486.0,15435.0,13860.0,33993.0,9638.0,8871.0,8825.0,23957.0,10143.0,14063.0,7227.0,13860.0,12680.0,11787.0,1604.0,2790.0,2673.0,13860.0,4090.0,3929.0,786.0,281.0,33.336363636363636,23.3,2.422727272727273,3.3372727272727274,6.8090909090909095,60048.27272727273,74951.72727272728,31969.727272727272,14.80909090909091,17.10909090909091,2256.6363636363635,838.5,1078.6363636363637,0.493049853372434,0.506950146627566
Manning,19944.0,9420.0,10524.0,1203.0,15448.0,1854.0,5533.0,11077.0,21.0,966.0,0.0,1117.0,1230.0,3070.0,10304.0,8537.0,19355.0,5455.0,5292.0,5536.0,17674.0,2270.0,15160.0,879.0,8537.0,7709.0,6954.0,1015.0,1699.0,2581.0,8537.0,2645.0,3049.0,496.0,116.0,35.127272727272725,28.345454545454547,2.3754545454545455,3.274545454545455,11.472727272727273,53635.3,97471.0,41152.454545454544,20.654545454545453,27.772727272727273,2206.4545454545455,800.6,1059.7272727272727,0.4723225030084236,0.5276774969915764
