lib_name,total_population,total_male,total_female,under_5_years,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,work_from_home,hh_social_security,hh_foodstamps_snap,occupied_units,occupied_units_owner,occupied_units_no_vehicle,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,median_age,perc_hh_w_children,avg_household_size,avg_family_size,unemployment_rate,median_hh_income_d,average_hh_income_d,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,occupied_median_rent_d,share_men,share_women
Thurgood Marshall,39623.0,18906.0,20717.0,3498.0,29108.0,6563.0,686.0,37052.0,69.0,178.0,0.0,820.0,818.0,1576.0,19174.0,14734.0,39497.0,14134.0,9385.0,3704.0,38591.0,1032.0,34495.0,678.0,14734.0,12523.0,10478.0,1007.0,5342.0,5848.0,14734.0,5725.0,4992.0,962.0,454.0,36.392857142857146,30.942857142857143,2.7671428571428573,3.641428571428571,20.592857142857145,35094.78571428572,49774.92857142857,19308.35714285714,26.678571428571427,29.864285714285717,1404.7142857142858,615.9285714285714,1024.142857142857,0.4771471115261338,0.5228528884738662
Toman,34114.0,17109.0,17005.0,2389.0,25798.0,4924.0,12816.0,5834.0,382.0,92.0,24.0,9842.0,5124.0,26694.0,12765.0,11350.0,33990.0,11823.0,8317.0,2737.0,21966.0,12148.0,8383.0,11363.0,11350.0,9410.0,8417.0,587.0,3951.0,2696.0,11350.0,4686.0,2538.0,952.0,456.0,34.91818181818182,33.845454545454544,2.9963636363636366,3.748181818181818,10.872727272727273,42584.818181818184,57645.72727272727,20442.454545454544,16.972727272727273,19.172727272727272,1555.4545454545455,596.2,947.4545454545455,0.5015243008735416,0.49847569912645834
Uptown,45534.0,23056.0,22478.0,2301.0,39554.0,4925.0,29101.0,7641.0,110.0,4789.0,7.0,1429.0,2457.0,5967.0,26032.0,23744.0,44387.0,7306.0,8286.0,22258.0,34903.0,10631.0,29995.0,4578.0,23744.0,22665.0,20920.0,5842.0,3631.0,3140.0,23744.0,7935.0,9714.0,1025.0,334.0,33.46666666666667,13.891666666666666,1.9608333333333334,2.9233333333333333,3.5749999999999997,78189.0,117379.0,59875.333333333336,12.241666666666667,17.175,2678.75,1085.3636363636363,1327.9166666666667,0.5063469056089954,0.4936530943910045
Vodak-East Side,18377.0,8010.0,10367.0,885.0,14602.0,3064.0,250.0,17848.0,0.0,72.0,0.0,20.0,187.0,229.0,8417.0,7087.0,18202.0,6075.0,4495.0,3122.0,18092.0,285.0,16998.0,177.0,7087.0,6471.0,5707.0,340.0,2295.0,1838.0,7087.0,4170.0,1159.0,640.0,150.0,41.11666666666667,28.599999999999998,2.5966666666666667,3.485,14.066666666666668,52914.833333333336,62026.833333333336,25374.166666666668,12.516666666666666,17.349999999999998,1312.5,505.8333333333333,995.1666666666666,0.4358709256135387,0.5641290743864613
Walker,18415.0,9002.0,9413.0,746.0,14589.0,3406.0,8523.0,8573.0,58.0,191.0,0.0,208.0,862.0,865.0,8086.0,7407.0,18004.0,5814.0,4458.0,6113.0,17767.0,648.0,16558.0,216.0,7407.0,6774.0,6352.0,1197.0,2182.0,731.0,7407.0,5161.0,764.0,749.0,241.0,44.25,26.349999999999998,2.473333333333333,3.231666666666667,7.6000000000000005,90678.66666666667,112703.5,46055.333333333336,5.3999999999999995,6.416666666666667,1996.0,726.1666666666666,1215.1666666666667,0.4888406190605485,0.5111593809394516
West Belmont,46594.0,22482.0,24112.0,2464.0,36383.0,5616.0,27619.0,1790.0,231.0,1512.0,24.0,11072.0,4346.0,25507.0,16527.0,15285.0,46221.0,14525.0,12123.0,6798.0,30303.0,16291.0,15077.0,11993.0,15285.0,13691.0,12438.0,1396.0,3990.0,1572.0,15285.0,10391.0,1130.0,2375.0,563.0,37.81111111111111,35.43333333333333,3.1255555555555556,3.6277777777777778,5.7555555555555555,68999.44444444444,87808.77777777778,29928.333333333332,9.4,10.988888888888889,1971.888888888889,710.4444444444445,1126.3333333333333,0.48250847748637166,0.5174915225136284
West Chicago Avenue,30849.0,14151.0,16698.0,2254.0,22576.0,3941.0,2756.0,23247.0,259.0,267.0,10.0,2234.0,2076.0,6956.0,11183.0,9937.0,30720.0,10711.0,8104.0,2001.0,28295.0,2554.0,23289.0,2388.0,9937.0,8799.0,7883.0,707.0,3085.0,4091.0,9937.0,3793.0,2777.0,1191.0,92.0,35.3375,37.7,3.1174999999999997,3.8025,11.9625,39334.25,52226.5,18097.75,26.9625,26.8,1669.125,638.875,1096.0,0.4587182728775649,0.541281727122435
West Englewood,23939.0,11312.0,12627.0,1188.0,19029.0,5200.0,1359.0,19446.0,327.0,20.0,0.0,1619.0,1168.0,3622.0,11807.0,9419.0,23698.0,7270.0,4695.0,1507.0,22064.0,1875.0,19706.0,1497.0,9419.0,7299.0,6424.0,311.0,4391.0,4201.0,9419.0,4252.0,3272.0,924.0,456.0,42.76,27.313333333333333,2.5540000000000003,3.6346666666666665,23.866666666666667,26518.4,40575.0,17251.466666666667,30.313333333333333,35.1,1312.8461538461538,510.53333333333336,933.8666666666667,0.47253435816032413,0.5274656418396758
West Lawn,38707.0,20308.0,18399.0,2919.0,27449.0,4451.0,19477.0,475.0,586.0,336.0,92.0,12442.0,5299.0,32994.0,11842.0,11340.0,38687.0,15223.0,10641.0,3504.0,26127.0,12580.0,7718.0,11395.0,11340.0,9755.0,9485.0,607.0,3798.0,1881.0,11340.0,7819.0,1451.0,1547.0,306.0,32.72222222222222,42.74444444444444,3.3255555555555554,4.017777777777777,9.833333333333334,55404.88888888889,72353.55555555556,23342.11111111111,10.644444444444444,13.188888888888888,1621.6666666666667,610.1111111111111,1049.7777777777778,0.5246596222905417,0.47534037770945825
West Loop,31065.0,15944.0,15121.0,1682.0,27929.0,1099.0,20524.0,1910.0,0.0,6362.0,0.0,405.0,1864.0,2321.0,19637.0,17969.0,30717.0,3424.0,4373.0,22782.0,25811.0,5254.0,23020.0,1330.0,17969.0,17740.0,16584.0,5013.0,781.0,330.0,17969.0,7477.0,5666.0,1146.0,94.0,32.6,11.68,1.748,2.598,3.34,141424.0,176764.0,102358.2,3.44,6.74,2938.8,1261.5,2286.0,0.5132464187992918,0.4867535812007082
West Pullman,35763.0,16611.0,19152.0,2216.0,26925.0,6031.0,860.0,33231.0,0.0,20.0,0.0,488.0,1164.0,1185.0,14538.0,12265.0,35729.0,11744.0,8687.0,4689.0,34950.0,813.0,32290.0,206.0,12265.0,10891.0,10020.0,912.0,4328.0,3460.0,12265.0,8099.0,2017.0,1464.0,437.0,38.3,30.24,2.888,3.747,17.369999999999997,53623.2,68628.5,25215.5,15.55,19.34,1389.5,584.1,1312.2,0.4644744568408691,0.5355255431591309
West Town,32761.0,16470.0,16291.0,2042.0,29115.0,1798.0,24709.0,2030.0,34.0,2107.0,0.0,1403.0,2478.0,5661.0,16692.0,15417.0,32542.0,4646.0,4598.0,20487.0,29195.0,3566.0,24576.0,1948.0,15417.0,14867.0,14369.0,5100.0,1505.0,780.0,15417.0,6673.0,2993.0,1163.0,210.0,33.1,14.940000000000001,2.116,2.8329999999999997,3.34,125570.3,155634.5,75639.3,4.92,7.640000000000001,3113.6,1328.3,1787.3,0.5027319068404505,0.49726809315954945
"Whitney M. Young, Jr.",41607.0,18232.0,23375.0,2505.0,32196.0,7096.0,341.0,39984.0,0.0,85.0,0.0,189.0,1008.0,607.0,22073.0,18110.0,41495.0,13681.0,9394.0,8065.0,40702.0,905.0,37864.0,209.0,18110.0,15920.0,13484.0,1767.0,5683.0,6352.0,18110.0,7592.0,5775.0,1359.0,520.0,41.15714285714286,27.400000000000002,2.3557142857142854,3.38,15.571428571428571,42865.642857142855,59490.28571428572,26766.64285714286,20.821428571428573,24.521428571428572,1626.923076923077,641.9285714285714,994.9285714285714,0.4381954959502007,0.5618045040497993
Woodson Regional Library,27933.0,12381.0,15552.0,1663.0,21565.0,5195.0,500.0,26848.0,33.0,0.0,0.0,136.0,416.0,122.0,10811.0,9565.0,27707.0,9927.0,6849.0,4832.0,27709.0,224.0,25787.0,67.0,9565.0,8790.0,8057.0,935.0,3601.0,2815.0,9565.0,6578.0,1464.0,1033.0,396.0,41.84444444444445,32.15555555555555,2.923333333333334,3.663333333333333,15.488888888888889,55840.88888888889,67796.33333333333,24733.444444444445,15.211111111111112,16.577777777777776,1430.5555555555557,613.8888888888889,1375.125,0.44323917946514874,0.5567608205348512
Wrightwood-Ashburn,24501.0,11538.0,12963.0,1253.0,19079.0,3566.0,4114.0,16495.0,13.0,221.0,0.0,2816.0,842.0,6298.0,8157.0,7850.0,24006.0,8065.0,6369.0,3604.0,21442.0,3059.0,17135.0,2137.0,7850.0,7482.0,6911.0,855.0,2306.0,1241.0,7850.0,6415.0,661.0,1230.0,163.0,38.5,36.38,3.136,3.7619999999999996,11.58,71965.4,81211.6,27372.4,10.219999999999999,14.5,1606.6,606.8,1501.0,0.470919554303906,0.529080445696094
