lib_name,total_population,total_male,total_female,under_5_years,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,work_from_home,hh_social_security,hh_foodstamps_snap,occupied_units,occupied_units_owner,occupied_units_no_vehicle,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,median_age,perc_hh_w_children,avg_household_size,avg_family_size,unemployment_rate,median_hh_income_d,average_hh_income_d,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,occupied_median_rent_d,share_men,share_women
Little Italy,37038.0,17889.0,19149.0,1883.0,30585.0,3437.0,16139.0,11507.0,162.0,5000.0,17.0,2244.0,1969.0,5957.0,16046.0,13804.0,32387.0,7953.0,13422.0,12811.0,30839.0,6199.0,25263.0,2719.0,13804.0,12852.0,12390.0,2304.0,2246.0,2430.0,13804.0,5342.0,4898.0,808.0,540.0,29.491666666666664,25.483333333333334,2.5058333333333334,3.3000000000000003,11.641666666666666,77081.54545454546,115125.5,44237.583333333336,14.375,27.066666666666666,2644.3333333333335,1074.3,1435.5,0.4829904422485015,0.5170095577514985
Little Village,65135.0,37452.0,27683.0,3607.0,50573.0,7070.0,19680.0,21798.0,308.0,596.0,49.0,17433.0,5271.0,36942.0,21010.0,18197.0,54450.0,19053.0,15062.0,6291.0,48535.0,16600.0,29365.0,15054.0,18197.0,16079.0,14282.0,1025.0,4589.0,5055.0,18197.0,6942.0,4435.0,1482.0,860.0,36.43684210526315,36.56842105263158,2.9678947368421054,3.7815789473684207,12.563157894736843,44295.11111111111,56287.26315789474,19005.315789473683,23.231578947368423,27.610526315789475,1703.388888888889,619.9411764705883,992.9473684210526,0.5749904045444078,0.42500959545559225
Logan Square,89712.0,44554.0,45158.0,5128.0,73536.0,8189.0,52702.0,10111.0,542.0,3932.0,40.0,10298.0,12087.0,37256.0,41314.0,37165.0,88917.0,22007.0,18741.0,31689.0,72152.0,17560.0,50590.0,13766.0,37165.0,34673.0,32523.0,8426.0,5991.0,4694.0,37165.0,14176.0,7991.0,2891.0,610.0,33.91,23.586666666666666,2.454333333333333,3.289,6.083333333333333,81132.0,107176.76666666666,45744.36666666667,11.933333333333334,15.41,2482.1,930.2142857142857,1373.9666666666667,0.49663367219546994,0.5033663278045301
Lozano,44179.0,21694.0,22485.0,2648.0,34322.0,4537.0,16159.0,12168.0,373.0,1652.0,0.0,9060.0,4767.0,19838.0,19659.0,17285.0,44065.0,13590.0,12023.0,10787.0,33583.0,10596.0,22808.0,7337.0,17285.0,15726.0,14577.0,1857.0,3484.0,4123.0,17285.0,5143.0,5267.0,1010.0,329.0,33.07333333333334,27.2,2.546666666666667,3.4833333333333334,9.66,63830.142857142855,82421.4,33916.0,19.706666666666667,22.646666666666665,2318.6,865.5,1094.0,0.49104778288327033,0.5089522171167297
Manning,42149.0,20193.0,21956.0,2360.0,32869.0,4435.0,14501.0,20424.0,85.0,1510.0,0.0,3298.0,2331.0,8565.0,20557.0,17403.0,40930.0,11784.0,10781.0,11944.0,37344.0,4805.0,30738.0,2630.0,17403.0,15859.0,14737.0,2149.0,3472.0,4658.0,17403.0,5829.0,5830.0,1003.0,370.0,35.09444444444445,29.20555555555556,2.49,3.3894444444444445,11.661111111111111,62276.5,100487.44444444444,42867.61111111111,21.205555555555556,27.594444444444445,2237.1666666666665,893.0,1146.6666666666667,0.4790860993143372,0.5209139006856628
Mayfair,50549.0,24933.0,25616.0,2733.0,40133.0,6969.0,28754.0,1688.0,275.0,5051.0,13.0,8382.0,6386.0,22063.0,20605.0,18906.0,50395.0,14357.0,11928.0,14404.0,35189.0,15360.0,22915.0,10645.0,18906.0,17831.0,16390.0,3299.0,4384.0,2451.0,18906.0,10501.0,2467.0,1958.0,416.0,38.940000000000005,29.386666666666667,2.6606666666666663,3.3066666666666666,5.066666666666666,77135.0,100305.06666666667,38904.2,9.16,12.639999999999999,2248.866666666667,833.6,1202.2666666666667,0.4932441789155077,0.5067558210844922
McKinley Park,37960.0,18577.0,19383.0,1963.0,29092.0,4054.0,11596.0,9502.0,422.0,5697.0,42.0,7949.0,2752.0,18094.0,15176.0,13495.0,37644.0,11950.0,10115.0,6609.0,27666.0,10294.0,16934.0,8751.0,13495.0,12318.0,11289.0,1360.0,3099.0,3327.0,13495.0,6672.0,2965.0,1271.0,432.0,37.284615384615385,32.06923076923077,2.8115384615384613,3.715384615384615,13.2,52998.333333333336,67291.61538461539,24910.46153846154,18.192307692307693,21.476923076923075,1799.076923076923,677.0,1043.3076923076924,0.4893835616438356,0.5106164383561644
Merlo,84161.0,43197.0,40964.0,4093.0,75016.0,8494.0,64803.0,3492.0,156.0,5916.0,72.0,3973.0,5749.0,12558.0,50852.0,46821.0,83556.0,11448.0,14115.0,50392.0,70941.0,13220.0,60811.0,5158.0,46821.0,45652.0,42930.0,10731.0,6123.0,2128.0,46821.0,16776.0,19079.0,2329.0,947.0,33.57083333333333,12.820833333333333,1.89125,2.7983333333333333,4.454166666666667,94977.91666666667,136813.33333333334,74713.91666666667,5.075,9.841666666666667,2776.5,1181.125,1617.3333333333333,0.5132662397072278,0.4867337602927722
Mount Greenwood,34491.0,17023.0,17468.0,1951.0,26330.0,5461.0,22972.0,8905.0,59.0,398.0,0.0,596.0,1561.0,3667.0,13578.0,12606.0,33528.0,11680.0,8875.0,7800.0,33127.0,1364.0,29969.0,484.0,12606.0,11297.0,10631.0,826.0,3717.0,1068.0,12606.0,9657.0,980.0,1021.0,551.0,41.1,32.2125,2.7025,3.54875,8.2125,88400.625,99104.75,37819.0,7.175,8.4375,1723.0,686.375,1210.4285714285713,0.4935490417790148,0.5064509582209852
Near North,80197.0,38677.0,41520.0,2762.0,71132.0,10419.0,56931.0,9665.0,152.0,6708.0,7.0,2984.0,3750.0,7536.0,51319.0,44910.0,78146.0,10561.0,15428.0,49670.0,69632.0,10565.0,63927.0,2672.0,44910.0,43282.0,40091.0,9795.0,6919.0,3338.0,44910.0,17662.0,18251.0,2543.0,1373.0,35.152631578947364,17.478947368421053,1.9752631578947368,2.831578947368421,4.794736842105263,115581.4705882353,167319.68421052632,90705.05263157895,10.894736842105264,14.299999999999999,3020.2631578947367,1317.1176470588234,1808.1052631578948,0.4822748980635186,0.5177251019364815
