,lib_name,total_population,total_male,total_female,under_5_years,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,work_from_home,hh_social_security,hh_foodstamps_snap,occupied_units,occupied_units_owner,occupied_units_no_vehicle,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,median_age,perc_hh_w_children,avg_household_size,avg_family_size,unemployment_rate,median_hh_income_d,average_hh_income_d,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,occupied_median_rent_d,share_men,share_women
60,Rogers Park,44616,22257,22359,2805,37000,4749,21632,11772,249,2505,7,4818,3633,9734,22915,20564,42942,9982,10334,15956,32147,12469,26128,6179,20564,19482,17595,3491,3038,2992,20564,6059,7917,922,185,36.71,18.82,2.136,3.1559999999999997,5.89,54584.7,75908.6,35822.0,12.1,17.09,1869.2,811.8,1120.3,0.4988569123184508,0.5011430876815492
61,Scottsdale,30340,15421,14919,1600,21664,2823,10185,8441,362,310,0,7903,3139,18495,8833,8564,30330,12157,9188,2816,23248,7092,13049,4874,8564,8002,7414,559,2142,1242,8564,7249,522,1171,319,33.54,47.28,3.554,4.0280000000000005,10.9,73405.4,82894.0,24249.6,9.86,13.7,1609.0,598.0,1404.2,0.5082729070533949,0.49172709294660516
62,Sherman Park,14235,7179,7056,806,11077,2174,1938,10317,45,24,41,1558,312,3637,7149,5505,14110,4349,3410,887,12623,1612,10206,1531,5505,4613,3999,426,1841,2354,5505,1920,1868,330,271,36.39090909090909,32.809090909090905,2.56,3.708181818181818,16.990909090909092,31054.090909090908,45134.454545454544,18999.18181818182,29.527272727272727,32.49090909090909,1444.909090909091,567.4545454545455,856.0,0.5043203371970495,0.49567966280295045
63,South Chicago,36352,17018,19334,2631,26454,5276,12939,13525,279,162,0,6682,2765,19891,15223,12209,36150,13299,10157,3526,29601,6751,17489,6005,12209,10836,10273,764,3755,3657,12209,6359,3192,897,688,36.208333333333336,35.141666666666666,2.9875000000000003,3.796666666666667,12.841666666666667,46917.083333333336,58651.666666666664,20538.833333333332,19.216666666666665,24.991666666666664,1256.909090909091,549.8333333333334,973.5,0.4681448063380282,0.5318551936619719
64,South Shore,48863,22228,26635,3404,38922,7497,1977,45312,19,329,26,464,736,1420,27947,23331,47902,13415,9697,8857,46811,2052,42591,1213,23331,20595,19065,1589,5444,8463,23331,5756,9602,1061,356,39.17142857142857,22.114285714285717,2.1314285714285712,3.297857142857143,15.564285714285715,39499.357142857145,57299.78571428572,28294.428571428572,23.978571428571428,29.67142857142857,1887.9285714285713,619.4444444444445,979.3571428571429,0.45490452898921474,0.5450954710107853
65,Sulzer Regional Library,42231,20894,21337,2945,33770,3372,33357,1153,69,2765,44,1774,3069,5180,20868,19025,42112,9700,8620,24043,37227,5004,32658,1934,19025,18419,17731,6136,2295,800,19025,8320,4296,862,343,36.253846153846155,24.346153846153847,2.1815384615384614,3.0069230769230773,4.061538461538461,100772.0,147410.6923076923,67516.76923076923,2.253846153846154,5.369230769230769,3058.0,1174.8333333333333,1427.3846153846155,0.4947550377684639,0.505244962231536
66,Thurgood Marshall,47139,22046,25093,4062,34231,7635,834,44136,78,178,0,829,1084,1722,23390,17773,46962,16868,11292,4401,46029,1110,41254,716,17773,14974,12574,1063,6327,7362,17773,6619,6268,1120,625,36.394444444444446,32.03333333333333,2.687222222222222,3.6144444444444446,21.272222222222222,33142.055555555555,47167.5,18661.333333333332,28.094444444444445,33.205555555555556,1410.4117647058824,610.9444444444445,988.8888888888889,0.46768068902607185,0.5323193109739282
67,Toman,34114,17109,17005,2389,25798,4924,12816,5834,382,92,24,9842,5124,26694,12765,11350,33990,11823,8317,2737,21966,12148,8383,11363,11350,9410,8417,587,3951,2696,11350,4686,2538,952,456,34.91818181818182,33.845454545454544,2.9963636363636366,3.748181818181818,10.872727272727273,42584.818181818184,57645.72727272727,20442.454545454544,16.972727272727273,19.172727272727272,1555.4545454545455,596.2,947.4545454545455,0.5015243008735416,0.49847569912645834
68,Uptown,43769,21891,21878,2063,38685,5371,27789,7584,189,4514,7,1299,2387,5564,26804,24499,42622,6334,7375,21927,33174,10595,28437,4427,24499,23316,21454,5109,4085,3076,24499,8525,10306,905,480,35.12222222222223,12.322222222222223,1.7966666666666669,2.8033333333333332,4.800000000000001,65302.22222222222,93406.66666666667,53441.555555555555,14.52222222222222,20.644444444444446,2389.5555555555557,964.625,1132.3333333333333,0.5001485069341315,0.4998514930658685
69,Vodak-East Side,17448,7535,9913,734,14164,2900,1200,15594,0,79,0,334,241,696,8348,7056,17273,5658,4257,3390,16936,512,15825,353,7056,6438,5703,447,2114,1696,7056,3946,1211,632,198,41.550000000000004,25.900000000000002,2.4416666666666664,3.3433333333333337,14.333333333333334,53195.666666666664,63377.666666666664,27025.0,11.116666666666667,16.099999999999998,1289.8333333333333,526.1666666666666,980.6666666666666,0.431854653828519,0.5681453461714809
