,lib_name,total_population,total_male,total_female,under_5_years,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,work_from_home,hh_social_security,hh_foodstamps_snap,occupied_units,occupied_units_owner,occupied_units_no_vehicle,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,median_age,perc_hh_w_children,avg_household_size,avg_family_size,unemployment_rate,median_hh_income_d,average_hh_income_d,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,occupied_median_rent_d,share_men,share_women
21,"Daley, Richard M.",34254,16033,18221,1959,26710,3679,9742,18303,101,337,0,3813,1958,9033,15063,13304,33981,10331,8398,7379,30944,3310,24781,3100,13304,11946,10564,1760,3216,4238,13304,4334,4231,893,337,34.06666666666667,27.675,2.56,3.4691666666666667,11.083333333333334,58472.2,73777.58333333333,31803.916666666668,25.916666666666668,28.558333333333334,2222.0,737.2222222222222,1190.1666666666667,0.4680621241314883,0.5319378758685117
22,Douglass,29237,12562,16675,1989,20706,2992,1209,26256,11,182,0,842,737,1691,13004,10317,28056,10558,8184,2425,28449,788,25771,603,10317,8736,7548,572,2928,5284,10317,2226,4170,456,254,31.87142857142857,36.800000000000004,2.71,3.6614285714285715,19.42142857142857,28263.35714285714,43862.0,16662.0,32.23571428571429,39.800000000000004,1729.6666666666667,632.9,1009.5,0.4296610459349455,0.5703389540650545
23,Dunning,27890,13955,13935,1393,22617,4347,21062,1400,83,1458,2,2112,1773,7395,11508,10966,27869,7781,5747,6117,17114,10776,12510,6503,10966,9930,9239,1030,2856,714,10966,7720,655,1548,606,42.91428571428571,26.585714285714285,2.672857142857143,3.2714285714285714,6.442857142857143,73219.85714285714,88121.28571428571,34041.142857142855,7.228571428571429,9.37142857142857,1956.0,707.8571428571429,1214.2857142857142,0.5003585514521334,0.49964144854786663
24,Edgebrook,26088,12610,13478,2002,19437,4194,20172,147,0,3572,0,960,1237,3650,9777,9333,26056,8615,6918,10274,21200,4888,16753,2584,9333,8906,8445,1751,2611,530,9333,7844,369,1244,480,40.8,37.22,2.82,3.3659999999999997,4.8,122983.8,159184.8,57270.0,3.1399999999999997,4.779999999999999,2840.4,953.4,2013.25,0.4833639987733824,0.5166360012266176
25,Edgewater,57876,29385,28491,2192,52149,8951,37134,7548,70,6760,55,1594,4715,8231,33575,29688,52915,7236,12954,25657,43696,14180,37876,7513,29688,27972,24915,5409,6329,3654,29688,10568,12193,1536,1047,37.12352941176471,9.58235294117647,1.7482352941176469,2.701764705882353,7.129411764705883,57341.64705882353,81960.88235294117,44533.705882352944,12.694117647058823,19.605882352941176,2112.176470588235,967.0625,1165.5294117647059,0.5077234086668049,0.4922765913331951
26,Gage Park,43909,21994,21915,3071,32536,5779,17006,7590,489,397,0,13855,4572,34451,14564,13404,43844,15327,11423,2792,29115,14794,11422,13348,13404,10952,9829,395,4995,3765,13404,6927,2977,1498,356,32.2875,42.475,3.31625,4.10375,17.9,42643.625,56118.75,17792.5,19.0125,18.9,1550.375,594.375,903.375,0.5008995877838256,0.49910041221617435
27,Galewood-Mont Clare,19445,8936,10509,1013,14975,3702,8753,2513,138,814,0,4929,2298,11285,7420,6849,19430,5806,4676,3343,14198,5247,8292,4818,6849,6055,5401,868,2660,1047,6849,4376,994,755,353,40.13333333333333,30.266666666666666,2.9299999999999997,3.543333333333333,4.366666666666666,71296.66666666667,84525.66666666667,30683.0,5.8999999999999995,9.066666666666666,1977.3333333333333,763.3333333333334,1113.0,0.45955258421187967,0.5404474157881204
28,Garfield Ridge,26848,13436,13412,1509,20506,4037,19561,29,150,162,0,3742,3204,13642,10099,9649,26838,8196,6337,4966,20981,5867,13351,4242,9649,8771,8198,772,2758,469,9649,8319,498,901,524,41.02,32.08,2.792,3.354,5.04,93233.0,101268.6,37093.6,3.9800000000000004,5.88,1916.2,649.8,1293.0,0.5004469606674613,0.49955303933253875
29,Greater Grand Crossing,12822,5945,6877,563,9310,1324,285,12100,48,22,0,109,258,295,6371,4866,12703,4529,3841,1530,12448,374,11716,246,4866,4402,3811,187,1130,2057,4866,1620,1625,347,61,32.6,34.0,2.6533333333333333,3.705,18.05,37847.166666666664,53709.333333333336,21384.0,26.55,32.300000000000004,1691.0,588.0,1033.8333333333333,0.46365621587895806,0.536343784121042
30,Hall,17069,7086,9983,1324,13057,1972,764,15206,6,130,0,221,742,861,9105,7841,17036,4783,4247,4386,16522,547,14482,381,7841,7182,6735,1000,1730,2634,7841,2290,2234,588,125,39.28,25.05,2.1399999999999997,3.125,18.830000000000002,43697.6,57781.1,27659.1,21.15,29.03,2094.8888888888887,937.3333333333334,989.7,0.4151385552756459,0.5848614447243541
31,Harold Washtington Library Center,49146,25177,23969,1660,46462,3347,31117,3255,107,11312,0,1001,2354,4619,33861,28876,45429,3177,10120,33551,37492,11654,35401,2722,28876,28606,26879,7344,2288,526,28876,10278,13504,1845,400,31.9875,6.175,1.56,2.35375,4.925,124061.25,175188.125,99358.125,2.475,8.325,2795.75,1357.25,2208.625,0.5122899116916941,0.48771008830830587
32,Hegewisch,9243,4579,4664,464,7178,1469,6252,717,10,0,0,1609,655,4830,4234,3793,9228,3089,2601,1032,7859,1384,5376,949,3793,3466,3226,285,1311,689,3793,2518,439,188,181,40.5,27.85,2.465,3.295,10.1,60342.5,71539.0,29192.5,9.95,13.45,1359.0,535.5,1101.5,0.49540192578167264,0.5045980742183274
33,Humboldt Park,30305,15174,15131,1778,24789,1937,18901,3047,132,1055,27,3351,3792,13563,13350,12100,29902,6823,6279,11582,25182,5123,17669,4169,12100,11296,10762,2930,1585,1659,12100,4912,2225,945,131,32.56666666666667,27.7,2.5713333333333335,3.2733333333333334,5.319999999999999,83015.26666666666,111745.4,46075.933333333334,9.813333333333333,13.246666666666666,2574.2,753.75,1414.2,0.5007094538854975,0.4992905461145026
34,Independence,49673,24603,25070,2965,39533,4682,31261,1735,96,3257,94,7693,5537,22072,21183,19355,49293,13592,11282,15737,36281,13392,24399,8828,19355,18396,17005,4248,3299,1980,19355,9498,2905,2090,430,36.15833333333333,29.741666666666664,2.5466666666666664,3.2708333333333335,6.391666666666667,82932.25,109338.25,43364.583333333336,7.233333333333334,9.541666666666666,2469.0833333333335,902.0833333333334,1244.5833333333333,0.49529925714170675,0.5047007428582932
35,Jefferson Park,48414,24049,24365,2616,39226,7747,33354,1275,90,5773,57,4084,3781,11643,21604,19762,48362,12449,10216,15946,32986,15428,24761,8603,19762,18146,16461,2715,5021,1798,19762,11379,2299,1802,767,41.47,25.630000000000003,2.418,3.07,6.35,76480.6,93487.1,39669.1,6.970000000000001,9.93,1980.3,729.6,1181.9,0.49673648118312885,0.5032635188168711
36,Jeffery Manor,27473,12257,15216,1372,20628,4567,8203,14314,209,70,0,2897,1780,11758,11163,9955,27468,10207,7358,4167,23648,3825,16894,2981,9955,8962,8650,952,3067,2858,9955,6375,1650,1176,238,38.25,33.9,2.815,3.4883333333333333,11.816666666666668,45996.166666666664,63192.0,24538.0,20.25,25.766666666666666,1282.5,539.8333333333334,970.8333333333334,0.44614712626942815,0.5538528737305718
37,Kelly,15337,7279,8058,966,10928,2281,533,14374,53,129,0,91,157,669,8512,6808,14795,5249,4213,1303,14624,713,13271,372,6808,5681,5064,145,1826,3284,6808,969,3786,163,155,38.800000000000004,32.77142857142857,2.2085714285714286,3.392857142857143,19.428571428571427,22244.333333333332,36599.142857142855,16794.14285714286,38.528571428571425,41.771428571428565,1560.5,549.5,806.1428571428571,0.47460389906761424,0.5253961009323858
38,King,24965,11049,13916,1388,20497,4558,1809,18980,222,2292,0,605,1057,1223,15067,13794,24792,5667,6356,8018,20586,4379,18979,1545,13794,12363,11084,1562,4316,4125,13794,3208,5688,813,118,41.67272727272727,18.89090909090909,1.8627272727272726,2.9145454545454546,15.645454545454545,37227.6,62305.818181818184,35020.36363636364,20.727272727272727,29.854545454545452,2173.6666666666665,901.3333333333334,791.0,0.44257961145603847,0.5574203885439616
39,Legler Regional,26194,13110,13084,1845,19404,3287,929,24253,11,125,10,499,367,925,11361,9066,25375,9120,6549,1378,25839,355,23472,253,9066,7826,7258,543,2970,4392,9066,2520,3022,633,210,36.03076923076923,32.3,2.8307692307692305,3.673076923076923,22.423076923076923,33605.833333333336,46356.769230769234,17463.76923076923,26.799999999999997,31.376923076923074,1531.0,732.8181818181819,1056.1538461538462,0.5004962968618768,0.49950370313812326
40,Lincoln Belmont,50896,25922,24974,4256,40201,3221,40393,1625,75,3173,45,1835,3750,7364,23443,21257,50763,11798,10797,28904,45476,5420,39427,1718,21257,20594,20025,7463,2203,764,21257,11231,3510,1430,346,32.53809523809524,28.552380952380954,2.400952380952381,3.031904761904762,3.7190476190476187,142363.04761904763,201482.09523809524,85107.42857142857,2.0476190476190474,5.595238095238095,3464.4285714285716,1286.142857142857,1783.904761904762,0.5093131090851933,0.49068689091480666
41,Lincoln Park,33486,16808,16678,1887,27965,2971,28151,1031,7,2378,0,593,1326,2017,14774,13543,30324,5926,9706,18447,29035,4451,27182,803,13543,12981,12345,3610,1818,442,13543,6682,3787,761,227,30.009999999999998,21.380000000000003,2.255,2.972,3.6700000000000004,164173.8,234690.4,95715.2,1.64,8.8,3911.4444444444443,1347.6,1901.7,0.5019411097174938,0.4980588902825061
42,Little Italy,21361,10463,10898,1187,18462,1728,9310,5572,107,4791,17,583,981,2169,8454,7481,16957,3632,9563,7960,16878,4483,13919,1695,7481,6992,6630,1462,1089,893,7481,3203,2294,405,354,26.8,19.32857142857143,2.3528571428571428,3.064285714285714,10.142857142857142,75082.85714285714,116794.57142857143,40303.28571428572,4.914285714285714,24.214285714285715,2768.4285714285716,1075.2857142857142,1567.857142857143,0.48981789242076684,0.5101821075792332
43,Little Village,45785,27727,18058,2230,36145,4876,15121,9879,242,248,0,15821,4474,32278,13369,11709,35787,12796,10060,3641,30850,14935,15192,14283,11709,10166,9022,853,2947,2838,11709,4428,2473,944,544,34.49166666666667,38.50833333333333,3.0533333333333332,3.7091666666666665,9.241666666666667,44187.75,55464.833333333336,17481.333333333332,22.474999999999998,28.65833333333333,1766.2727272727273,640.8181818181819,960.9166666666666,0.6055913508791089,0.39440864912089113
44,Logan Square,76023,37871,38152,4208,63123,6896,47554,4487,532,3284,59,9106,11001,35388,34956,31642,75656,18103,15378,27417,59609,16414,39712,13570,31642,29402,27581,7396,5070,3700,31642,12040,6415,2459,544,33.324,22.596,2.4484,3.2436000000000003,4.412,81648.6,106424.04,45587.16,8.988,12.347999999999999,2514.24,935.64,1403.48,0.4981518750904332,0.5018481249095669
45,Lozano,30444,14921,15523,1535,24554,3486,12956,2598,373,1134,0,8893,4490,19327,13727,12229,30349,8408,7795,7518,20627,9817,11269,7153,12229,11185,10566,1429,2452,2226,12229,3442,3600,722,234,33.4,22.85,2.442,3.344,6.720000000000001,58391.6,72884.9,30799.0,15.309999999999999,16.8,2240.2,800.4444444444445,1078.3,0.4901129943502825,0.5098870056497176
46,Manning,18075,8418,9657,1022,13924,1773,4290,10979,21,850,0,1082,853,2637,9376,7735,17491,5078,4966,4494,16272,1803,14067,650,7735,6914,6180,789,1634,2559,7735,2215,2947,446,108,35.06,28.869999999999997,2.381,3.2950000000000004,12.45,45944.0,90905.5,38156.5,22.720000000000002,30.139999999999997,2117.1,827.25,997.1,0.4657261410788382,0.5342738589211619
