,BRANCH,LOCATION,geometry,LATITUDE,LONGITUDE
0,Albany Park,"(41.97557881655979, -87.71361314512697)","MULTIPOLYGON (((-87.721639 41.982604, -87.720613 41.983351, -87.719409 41.983374, -87.718995 41.984579, -87.716613 41.987101, -87.713613 41.988739, -87.70904186759014 41.985718118438164, -87.70995930220468 41.98475776002075, -87.713613 41.987167, -87.716613 41.985401, -87.719474 41.982579, -87.72091374165494 41.98167803525974, -87.720868 41.982324, -87.721639 41.982604)), ((-87.72992859967553 41.97476980804627, -87.729392 41.975243, -87.729712 41.9755, -87.7308963204597 41.97588587570828, -87.728613 41.977761, -87.726448 41.976579, -87.719365 41.97633, -87.719343 41.976849, -87.720613 41.977, -87.721204 41.977579, -87.72106296278885 41.97957073085395, -87.721054 41.977579, -87.719264 41.976928, -87.719293 41.976258, -87.72827 41.976236, -87.729052 41.975579, -87.728472 41.97472, -87.727059 41.974133, -87.72599774497259 41.97275101990554, -87.727969 41.974387, -87.7288169234149 41.97375953667298, -87.728989 41.974203, -87.72992859967553 41.97476980804627)), ((-87.72401080249186 41.971115644164236, -87.724065 41.971147, -87.72412254686029 41.97119475917709, -87.72401080249186 41.971115644164236)), ((-87.72103357703834 41.96747598480843, -87.720106 41.968243, -87.7202429368568 41.968447995294625, -87.718613 41.967294, -87.715613 41.965491, -87.714499 41.965693, -87.714389 41.964803, -87.713613 41.964035, -87.708613 41.966886, -87.704613 41.97037, -87.703426 41.970392, -87.700289 41.973579, -87.699843 41.974808, -87.69983193693325 41.97481298225728, -87.699316 41.973756, -87.69839208088491 41.97368485822814, -87.702371 41.969336, -87.704613 41.968742, -87.712567 41.962579, -87.71340251331631 41.96249672670021, -87.714016 41.96303, -87.719016 41.966367, -87.71931459155937 41.9663177323927, -87.72103357703834 41.96747598480843)), ((-87.706241 41.979773, -87.70610897871532 41.97955648509311, -87.70643351855084 41.979234866116116, -87.70624315234734 41.97977338586661, -87.706241 41.979773)), ((-87.707706 41.979486, -87.7077084523843 41.979559590539615, -87.70759739513744 41.97944337283985, -87.707706 41.979486)))",41.97557881655979,-87.71361314512697
1,Altgeld,"(41.65719847558056, -87.59883829075173)","MULTIPOLYGON (((-87.595456 41.66258, -87.597838 41.663615, -87.598676 41.663198, -87.59871734163607 41.66240025954083, -87.599478 41.663198, -87.599427 41.664198, -87.598838 41.664727, -87.597838 41.664471, -87.595299 41.662738, -87.594838 41.661056, -87.593697 41.661057, -87.591838 41.662925, -87.590626 41.662411, -87.591042 41.660994, -87.58893 41.660198, -87.591838 41.659463, -87.59189760591745 41.65882384116207, -87.592074 41.658963, -87.591838 41.65976, -87.591014 41.660198, -87.591748 41.661289, -87.592838 41.661517, -87.593593 41.660953, -87.594838 41.661, -87.595456 41.66258)), ((-87.584838 41.654906, -87.588953 41.654313, -87.589216 41.651576, -87.589838 41.6508, -87.590838 41.650693, -87.591569 41.651198, -87.590624 41.653198, -87.591524 41.653513, -87.59174424610805 41.65427599544576, -87.590465 41.653198, -87.589838 41.652005, -87.589014 41.654374, -87.586624 41.654984, -87.586624 41.655413, -87.587356 41.655681, -87.589978 41.656059, -87.590397 41.65764, -87.59068201644736 41.657864851973684, -87.590242 41.657795, -87.589838 41.656041, -87.585838 41.655786, -87.584737 41.6553, -87.584838 41.654906)), ((-87.593838 41.654323, -87.591838 41.654355, -87.59175976277939 41.65428907103843, -87.593735 41.654301, -87.594044 41.653405, -87.59447694475662 41.65339142862384, -87.594098 41.653458, -87.593838 41.654323)), ((-87.598284 41.652198, -87.598912 41.653272, -87.59779867543072 41.65328730343051, -87.598893 41.653253, -87.598074 41.652198, -87.598309 41.65167, -87.59904929044022 41.65158683055121, -87.598284 41.652198)), ((-87.603135 41.649902, -87.603446 41.65059, -87.604275 41.650762, -87.604838 41.651426, -87.607838 41.650573, -87.609908 41.652198, -87.610986 41.654051, -87.610948 41.655198, -87.6123 41.656737, -87.611116 41.659198, -87.608642 41.660003, -87.607838 41.661588, -87.607667 41.660198, -87.6074903948501 41.66004568072113, -87.607838 41.660159, -87.608847 41.659207, -87.608684 41.658045, -87.610945 41.657305, -87.61003 41.654198, -87.60724 41.651797, -87.604838 41.651702, -87.603838 41.650966, -87.602589 41.651448, -87.59986173550841 41.65149555474266, -87.601006 41.651367, -87.601838 41.649802, -87.603135 41.649902)), ((-87.598838 41.660072, -87.60607735149924 41.65985572437396, -87.605687 41.660047, -87.598838 41.660098, -87.59883296616323 41.66016913440596, -87.598838 41.660072)))",41.65719847558056,-87.59883829075173
2,Archer Heights,"(41.80110836194246, -87.72648385568911)","MULTIPOLYGON (((-87.7364686739174 41.803047310193804, -87.737898 41.803694, -87.737484 41.804823, -87.736252 41.805108, -87.737426 41.806108, -87.733666 41.809291, -87.732484 41.809814, -87.731484 41.811066, -87.730484 41.810943, -87.728484 41.813244, -87.727484 41.813665, -87.725484 41.813435, -87.724484 41.812914, -87.723484 41.813063, -87.721484 41.811614, -87.718484 41.81127, -87.717484 41.809537, -87.716484 41.809632, -87.715144 41.808448, -87.71470882876724 41.80844473049412, -87.714767598765 41.808338263106904, -87.7153504962933 41.80829078135505, -87.717484 41.808583, -87.718484 41.809756, -87.720484 41.809528, -87.723484 41.811475, -87.726484 41.812317, -87.728223 41.811848, -87.733332 41.807956, -87.736259 41.804883, -87.737484 41.804442, -87.737484 41.803774, -87.736272 41.803108, -87.7364686739174 41.803047310193804)), ((-87.71492779007097 41.80654956638581, -87.714734 41.806561, -87.71465515742412 41.80664013897655, -87.714484 41.806697, -87.71442685005391 41.80686930464514, -87.71407372600866 41.80722375622439, -87.714909 41.805533, -87.71551380242921 41.80519027862344, -87.715676 41.806301, -87.71492779007097 41.80654956638581)), ((-87.716137 41.803108, -87.715334 41.803959, -87.71544597075531 41.804725770493974, -87.713987 41.802108, -87.711395 41.801108, -87.712868 41.800493, -87.713166 41.798791, -87.714484 41.797661, -87.715355 41.796108, -87.72210982243298 41.790879621519814, -87.722743 41.791455, -87.72410094701463 41.79077534751918, -87.724484 41.791068, -87.725484 41.790818, -87.72563247727273 41.79068704304546, -87.725743 41.790716, -87.726318 41.790329, -87.7277759654185 41.7891645089109, -87.729484 41.789811, -87.734772 41.793108, -87.735993 41.794108, -87.73608 41.795108, -87.737868 41.795724, -87.738484 41.796854, -87.739484 41.796209, -87.741484 41.796904, -87.743594 41.798108, -87.743765 41.799108, -87.741843 41.801108, -87.739484 41.80274, -87.738484 41.802285, -87.738128 41.802752, -87.73678369950582 41.80295009932741, -87.737484 41.802734, -87.737971 41.802108, -87.737362 41.800986, -87.738269 41.800893, -87.738484 41.800492, -87.739484 41.801153, -87.741581 41.799108, -87.740927 41.798108, -87.739484 41.797365, -87.738114 41.797478, -87.736714 41.795878, -87.73454 41.795108, -87.733769 41.793823, -87.732484 41.793649, -87.731484 41.792547, -87.728484 41.790699, -87.727484 41.790945, -87.725484 41.792435, -87.724484 41.792727, -87.723484 41.791807, -87.721484 41.792749, -87.717476 41.796101, -87.713325 41.801108, -87.715581 41.802011, -87.716137 41.803108)))",41.80110836194246,-87.72648385568911
3,Austin,"(41.88917312206642, -87.7658203582574)","MULTIPOLYGON (((-87.754244 41.885173, -87.75316143257955 41.886212930279015, -87.75206193961574 41.88533287393613, -87.752239 41.885173, -87.76482 41.876292, -87.76582 41.876964, -87.767351 41.877173, -87.767893 41.878173, -87.77382 41.881651, -87.775412 41.883581, -87.77682 41.883991, -87.77882 41.885648, -87.779368 41.886626, -87.780812 41.887173, -87.781777 41.888173, -87.780894 41.889173, -87.781553 41.890173, -87.781257 41.89061, -87.774835 41.896187, -87.77161667742213 41.898448458859455, -87.77054571085937 41.89774681304347, -87.77882 41.891338, -87.779512 41.890173, -87.779215 41.889173, -87.779753 41.888173, -87.77682 41.885461, -87.77582 41.885827, -87.774304 41.88369, -87.771007 41.881173, -87.76682 41.878292, -87.76582 41.878508, -87.76482 41.877889, -87.754244 41.885173)), ((-87.76291684164818 41.90025405577931, -87.76077941533633 41.89873344873191, -87.76164419070702 41.89803792254292, -87.76395322024834 41.89943140890365, -87.76291684164818 41.90025405577931)))",41.88917312206642,-87.7658203582574
4,Austin-Irving,"(41.95312267684315, -87.77928489355646)","MULTIPOLYGON (((-87.793285 41.951279, -87.790588 41.950123, -87.789481 41.948123, -87.78847013589476 41.94793288757948, -87.78970812241175 41.947727232355554, -87.790459 41.947948, -87.792027 41.949123, -87.792102 41.950305, -87.793888 41.950519, -87.796285 41.951893, -87.79676 41.953123, -87.793139 41.953977, -87.792392 41.95623, -87.791285 41.956408, -87.79086360995511 41.955902187634464, -87.792285 41.955562, -87.793026 41.953864, -87.794772 41.953123, -87.79438 41.952123, -87.793285 41.951279)), ((-87.78752186614419 41.94775454723022, -87.7877751206887 41.94770931291453, -87.78786724362823 41.94781950210312, -87.78752186614419 41.94775454723022)), ((-87.776024 41.943115, -87.77626821296732 41.94319124556014, -87.763681 41.953123, -87.764233 41.954174, -87.76536891445772 41.954946790576244, -87.765062 41.9549, -87.764285 41.955854, -87.763285 41.955458, -87.761492 41.953123, -87.77527195432485 41.942499806485465, -87.776024 41.943115)), ((-87.769285 41.957611, -87.771038 41.958123, -87.772285 41.959826, -87.779285 41.964727, -87.78109 41.963928, -87.787285 41.959228, -87.789941 41.956123, -87.78998086267332 41.956113459488165, -87.790127 41.957123, -87.788817 41.959655, -87.781435 41.965272, -87.778285 41.965583, -87.775285 41.963109, -87.769148 41.959123, -87.768285 41.958104, -87.764779 41.956123, -87.764793 41.95563, -87.765285 41.955856, -87.765576 41.955414, -87.76546356568149 41.955011184134456, -87.769285 41.957611)))",41.95312267684315,-87.77928489355646
5,Avalon,"(41.746393038286826, -87.5860053710736)","POLYGON ((-87.595841 41.742557, -87.595005 41.741565, -87.593823 41.741575, -87.594131 41.740393, -87.592305 41.739093, -87.591005 41.739286, -87.590005 41.737458, -87.586005 41.734349, -87.585005 41.734423, -87.584005 41.735746, -87.579276 41.738663, -87.578005 41.738792, -87.577005 41.739715, -87.576005 41.739708, -87.574128 41.740516, -87.573755 41.741393, -87.57431 41.742698, -87.573005 41.745167, -87.572486 41.748393, -87.574789 41.74961, -87.577703 41.752696, -87.585005 41.757655, -87.58552274906438 41.75798687715027, -87.585187 41.758395, -87.585778 41.759395, -87.58570806602478 41.759591130622255, -87.578005 41.754458, -87.574305 41.751093, -87.570543 41.748393, -87.571082 41.747393, -87.571317 41.744393, -87.572211 41.743393, -87.572282 41.742117, -87.571786 41.741393, -87.572221 41.739608, -87.574867 41.738393, -87.577005 41.738075, -87.578005 41.737261, -87.580005 41.736901, -87.585005 41.732921, -87.586005 41.732974, -87.590879 41.736393, -87.591624 41.737774, -87.594005 41.738245, -87.595736 41.740393, -87.596005 41.741823, -87.597005 41.741689, -87.598165 41.742234, -87.597863 41.743536, -87.599005 41.743814, -87.600005 41.743303, -87.602804 41.745393, -87.600005 41.748456, -87.599005 41.74884, -87.598005 41.748434, -87.59769 41.750393, -87.59772366121594 41.75043186976436, -87.597512 41.750358, -87.596564 41.751395, -87.59651550640646 41.75265303572469, -87.59647184684334 41.752744883369445, -87.595512 41.752766, -87.5951857513805 41.75250043362374, -87.59636 41.751393, -87.596193 41.750393, -87.597181 41.749569, -87.597843 41.746231, -87.598498 41.746393, -87.599005 41.747393, -87.600005 41.746933, -87.600704 41.745393, -87.598324 41.744074, -87.597005 41.742753, -87.595841 41.742557))",41.746393038286826,-87.5860053710736
6,Back of the Yards,"(41.808384423666354, -87.67756963874196)","MULTIPOLYGON (((-87.66457 41.804581, -87.664984 41.80497, -87.666009 41.804824, -87.667541 41.802356, -87.67457 41.797339, -87.675839 41.798384, -87.678006 41.798948, -87.67857 41.799692, -87.68457 41.799996, -87.6874 41.802384, -87.68796 41.803384, -87.687415 41.804539, -87.689886 41.805068, -87.69057 41.805949, -87.692885 41.806384, -87.69495393561336 41.80794959637787, -87.694057 41.808483, -87.690734 41.811639, -87.686734 41.814316, -87.68570922903504 41.81583259523226, -87.68357 41.817068, -87.682231 41.815384, -87.682076 41.814384, -87.680755 41.813199, -87.680646 41.812308, -87.679805 41.812149, -87.679805 41.81062, -87.680637 41.810451, -87.680647 41.809384, -87.67964014725837 41.80932790792525, -87.679642 41.809313, -87.680661 41.809384, -87.680653 41.810468, -87.679877 41.810692, -87.679877 41.812077, -87.680669 41.812286, -87.680864 41.81309, -87.682175 41.813779, -87.68357 41.81556, -87.686003 41.814384, -87.691893 41.809708, -87.693294 41.808384, -87.693012 41.807942, -87.689902 41.806052, -87.68959 41.805364, -87.687161 41.804793, -87.68457 41.801535, -87.683408 41.801223, -87.682361 41.801593, -87.680952 41.800002, -87.67857 41.799965, -87.67757 41.798996, -87.67457 41.798813, -87.67185 41.800665, -87.671927 41.802742, -87.67012 41.802834, -87.66957 41.802445, -87.667765 41.804384, -87.66457 41.806032, -87.662008 41.808384, -87.662912 41.810042, -87.66557 41.811366, -87.666521 41.812433, -87.67157 41.815798, -87.67257 41.81632, -87.673248 41.815384, -87.673258 41.814073, -87.674254 41.813069, -87.675168 41.812983, -87.67549473132459 41.81239780956789, -87.675347 41.813162, -87.674182 41.813384, -87.673462 41.814492, -87.675098 41.815384, -87.67457 41.816076, -87.67357 41.81597, -87.67257 41.817718, -87.66357 41.811751, -87.661562 41.811393, -87.659794 41.808384, -87.66457 41.804581)), ((-87.67657 41.8119, -87.6777020071964 41.812084498410464, -87.67757 41.812305, -87.676249 41.812063, -87.67554254816092 41.812312167472975, -87.67557 41.812263, -87.67657 41.8119)))",41.808384423666354,-87.67756963874196
7,Beverly,"(41.72118978926962, -87.67214620967468)","MULTIPOLYGON (((-87.668938 41.709982, -87.674027 41.709309, -87.674781 41.71019, -87.674944 41.711392, -87.675408 41.711452, -87.676146 41.710615, -87.679146 41.713489, -87.684146 41.716148, -87.684887 41.718449, -87.685469 41.718513, -87.686146 41.717849, -87.687019 41.718317, -87.687649 41.719687, -87.689146 41.719775, -87.690438 41.72119, -87.686146 41.721974, -87.685915 41.722421, -87.686513 41.72319, -87.6831 41.724144, -87.683974 41.72519, -87.683223 41.72619, -87.679146 41.729651, -87.677795 41.729839, -87.677154 41.731197, -87.676146 41.73171, -87.673146 41.731571, -87.672307 41.730029, -87.67099830763533 41.73001204331966, -87.672456 41.72988, -87.675146 41.731148, -87.676754 41.728797, -87.678573 41.727617, -87.678983 41.726026, -87.679584 41.72619, -87.680146 41.727176, -87.682244 41.725287, -87.682814 41.723857, -87.684897 41.72319, -87.686146 41.721561, -87.688299 41.72119, -87.687624 41.72019, -87.686082 41.71919, -87.684486 41.71885, -87.682555 41.716781, -87.678247 41.71419, -87.676146 41.712285, -87.67575 41.712586, -87.673102 41.71019, -87.672349 41.709987, -87.667883 41.711927, -87.666146 41.713537, -87.664146 41.714311, -87.663146 41.714224, -87.661037 41.71608, -87.660146 41.717686, -87.659146 41.717603, -87.658036 41.71919, -87.65730482580871 41.719717162358535, -87.65589367015347 41.72043297106465, -87.65583723999907 41.71959706064573, -87.656146 41.719406, -87.65626909918035 41.719197716186855, -87.657067 41.718695, -87.65688583290996 41.718154202716335, -87.657146 41.717714, -87.658336 41.717379, -87.660146 41.714578, -87.660871 41.715465, -87.661325 41.715369, -87.660921 41.71419, -87.663146 41.712623, -87.664146 41.713388, -87.667146 41.710815, -87.668146 41.710672, -87.668938 41.709982)), ((-87.66962743234669 41.7306582106114, -87.66956 41.730614, -87.66966492177505 41.73013282648328, -87.67007100802243 41.73009604164618, -87.66962743234669 41.7306582106114)))",41.72118978926962,-87.67214620967468
8,Bezazian,"(41.97155143669217, -87.66095347964183)","MULTIPOLYGON (((-87.648153 41.968751, -87.647953 41.967088, -87.64808727796776 41.96696706879509, -87.648247 41.967108, -87.64977571268975 41.96784592631912, -87.648953 41.968305, -87.648099 41.969551, -87.649135 41.971369, -87.64826 41.972551, -87.648461 41.973551, -87.649437 41.974068, -87.64981097403356 41.97445622674132, -87.647953 41.97469, -87.647654 41.973851, -87.646708 41.973551, -87.647518 41.973116, -87.648246 41.970551, -87.647953 41.970211, -87.646953 41.970328, -87.646254 41.969551, -87.646953 41.968933, -87.648153 41.968751)), ((-87.675838 41.973551, -87.671443 41.977551, -87.666953 41.980222, -87.665953 41.98131, -87.66539296720728 41.98158553613402, -87.66340344036807 41.98004392954111, -87.663953 41.979956, -87.664953 41.980384, -87.666953 41.978525, -87.669953 41.977116, -87.673885 41.973551, -87.673206 41.972551, -87.673883 41.971551, -87.67163 41.969875, -87.671953 41.969115, -87.673346 41.968551, -87.669953 41.965943, -87.668953 41.965685, -87.665867 41.963638, -87.66576911078761 41.96355076909211, -87.66691143425149 41.9626310239521, -87.66832018047641 41.96361616117232, -87.668473 41.964189, -87.67501964034832 41.969085569411625, -87.67404 41.970551, -87.674761 41.972744, -87.675838 41.973551)), ((-87.654148 41.979357, -87.652953 41.979088, -87.65167 41.977551, -87.649762 41.976743, -87.65004470833641 41.974698869006794, -87.652953 41.977718, -87.653942 41.977562, -87.654953 41.979052, -87.65647028959498 41.980056445711874, -87.6554068224792 41.98091661996294, -87.654953 41.980621, -87.654148 41.979357)))",41.97155143669217,-87.66095347964183
9,Blackstone,"(41.80549277198318, -87.58923748614112)","MULTIPOLYGON (((-87.579678 41.803493, -87.580823 41.804907, -87.582237 41.805505, -87.58328 41.80545, -87.585932 41.807798, -87.587237 41.807318, -87.5873275871256 41.807399639271416, -87.586237 41.808095, -87.585401 41.807329, -87.58452 41.807211, -87.584184 41.806493, -87.581792 41.805938, -87.579472 41.803493, -87.58023216871548 41.80270444324121, -87.579678 41.803493)), ((-87.580703 41.800493, -87.580169 41.796493, -87.582645 41.795493, -87.585237 41.793577, -87.586237 41.793848, -87.588237 41.792556, -87.589237 41.79365, -87.592237 41.795252, -87.593237 41.796413, -87.594761 41.796969, -87.600237 41.800667, -87.602048 41.802682, -87.603778 41.803493, -87.60488 41.804851, -87.606053 41.805493, -87.603237 41.809933, -87.599971 41.812493, -87.599439 41.814694, -87.598237 41.816425, -87.597201 41.816456, -87.595237 41.815364, -87.594237 41.815651, -87.593824 41.814906, -87.592533 41.814493, -87.591346 41.813384, -87.590331 41.813399, -87.590237 41.812707, -87.589237 41.813078, -87.588426 41.812304, -87.586689 41.812041, -87.586463 41.811493, -87.587609 41.810864, -87.588365 41.809493, -87.588336 41.808394, -87.587495430236 41.807550903473185, -87.588381 41.808349, -87.588409 41.809493, -87.58773 41.810985, -87.58665 41.811493, -87.586846 41.811884, -87.588842 41.812097, -87.589237 41.811454, -87.589472 41.812258, -87.590426 41.812304, -87.592237 41.814192, -87.593237 41.814539, -87.594375 41.814355, -87.596237 41.815224, -87.597693 41.814949, -87.597902 41.812493, -87.601416 41.809493, -87.601237 41.808867, -87.600237 41.808975, -87.600044 41.808299, -87.601893 41.808148, -87.603886 41.806493, -87.604018 41.805493, -87.601237 41.803595, -87.600044 41.803687, -87.5997 41.80203, -87.597971 41.800493, -87.593804 41.798493, -87.592237 41.796773, -87.588237 41.794169, -87.587237 41.794217, -87.586237 41.795218, -87.585237 41.795154, -87.581237 41.797898, -87.580619 41.799493, -87.58156 41.800815, -87.58044895377003 41.80239596801481, -87.580703 41.800493)))",41.80549277198318,-87.58923748614112
