,BRANCH,LOCATION,LATITUDE,LONGITUDE,geometry,list of dict
12,Bucktown-Wicker Park,"(41.91235487836141, -87.68029967133904)",41.91235487836141,-87.68029967133904,"POLYGON ((-87.6793 41.915696, -87.6803 41.916094, -87.684175 41.91523, -87.685557 41.912355, -87.684082 41.911572, -87.6823 41.909752, -87.6813 41.91011, -87.6803 41.909277, -87.678448 41.909503, -87.6773 41.909222, -87.676384 41.909439, -87.67594 41.911355, -87.674922 41.912355, -87.6773 41.91464, -87.6793 41.915696))","[{17031241200: 0.00491395129978254, 17031241300: 0.09486893281783368, 17031240500: 0.6044322655115856, 17031240300: 0.35203918552339386, 17031831000: 0.4348142934165567, 17031222200: 0.23372479032906057, 17031832200: 0.04115798099807553, 17031241400: 0.06069077257048057, 17031241500: 0.016859223697442253}]"
13,Budlong Woods,"(41.98369797603738, -87.69631576617253)",41.98369797603738,-87.69631576617253,"POLYGON ((-87.695316 41.987361, -87.696316 41.987177, -87.697316 41.987602, -87.700203 41.986586, -87.700871 41.984698, -87.69951 41.983698, -87.699285 41.982698, -87.695316 41.98109, -87.694316 41.98031, -87.69247 41.980852, -87.691147 41.982698, -87.692923 41.985698, -87.695316 41.987361))","[{17031040300: 0.0009743576301813934, 17031020701: 0.05844732583833662, 17031040202: 0.21567480687655735, 17031020801: 0.36889542417794097}]"
14,Canaryville,"(41.81634394084193, -87.64256827550598)",41.81634394084193,-87.64256827550598,"POLYGON ((-87.640568 41.819365, -87.643568 41.819929, -87.645568 41.818575, -87.646366 41.817141, -87.647546 41.816344, -87.646319 41.815593, -87.645568 41.814057, -87.643568 41.812686, -87.640568 41.8135, -87.637193 41.816344, -87.640568 41.819365))","[{17031610800: 0.16830154088641575, 17031842600: 0.09665575103604056}]"
15,Chicago Bee,"(41.82824306445502, -87.6263495444489)",41.82824306445502,-87.6263495444489,"POLYGON ((-87.62635 41.832414, -87.62935 41.830428, -87.629884 41.829243, -87.628562 41.82603, -87.62635 41.824146, -87.623093 41.826243, -87.621987 41.827243, -87.621987 41.82788, -87.622796 41.829797, -87.624405 41.831243, -87.625878 41.831715, -87.62635 41.832414))","[{17031340600: 0.03815329129090594, 17031351500: 0.7526579643256195, 17031351400: 0.631169390978046, 17031842000: 0.042162604630209724}]"
16,Chicago Lawn,"(41.7819767986214, -87.7033680880769)",41.7819767986214,-87.7033680880769,"POLYGON ((-87.703368 41.786151, -87.707768 41.782977, -87.708258 41.781977, -87.707819 41.780977, -87.703368 41.777727, -87.700106 41.779977, -87.699268 41.780977, -87.698802 41.782977, -87.703368 41.786151))","[{17031660500: 0.018512866874384155, 17031660400: 0.3349018648318937, 17031660600: 0.012037950883559393, 17031660301: 0.29238888264362, 17031660302: 0.3006385469148438}]"
17,Chinatown,"(41.85412074173438, -87.63195792246246)",41.85412074173438,-87.63195792246246,"POLYGON ((-87.631958 41.858219, -87.634135 41.857121, -87.637045 41.853121, -87.636356 41.851722, -87.634958 41.851113, -87.633958 41.851329, -87.631958 41.850177, -87.630696 41.850858, -87.629958 41.852504, -87.628958 41.852533, -87.628607 41.853769, -87.627276 41.855121, -87.627651 41.856427, -87.631958 41.858219))","[{17031841100: 0.30466347836079494, 17031330200: 0.1099847347945285, 17031841000: 0.0016867338494424668}]"
18,Clearing,"(41.776652677565934, -87.78218757614671)",41.776652677565934,-87.78218757614671,"POLYGON ((-87.781188 41.780164, -87.783188 41.779329, -87.784188 41.779824, -87.787034 41.777653, -87.787689 41.776653, -87.784188 41.77403, -87.781188 41.773375, -87.780188 41.773719, -87.776919 41.776653, -87.778575 41.778653, -87.781188 41.780164))","[{17031640500: 0.26213816988019545, 17031640400: 0.062356394147613896, 17031640600: 0.16207319963928402, 17031640300: 0.03561310923669465}]"
19,Coleman,"(41.78028267185317, -87.60712228979007)",41.78028267185317,-87.60712228979007,"POLYGON ((-87.607122 41.784339, -87.611122 41.781752, -87.612331 41.780283, -87.611122 41.778853, -87.607122 41.776093, -87.606122 41.776467, -87.601619 41.780283, -87.602278 41.781283, -87.607122 41.784339))","[{17031420700: 0.24753470587872664, 17031420800: 0.22238976868102542, 17031420600: 0.05003528379514227, 17031420500: 0.5419573239933971, 17031420400: 0.2879425698961562}]"
20,"Daley, Richard J. - Bridgeport","(41.8327976771251, -87.64629980794813)",41.8327976771251,-87.64629980794813,"POLYGON ((-87.6463 41.836965, -87.6473 41.836588, -87.6513 41.833304, -87.651436 41.832661, -87.651044 41.831798, -87.6463 41.82869, -87.64298 41.830798, -87.642824 41.833798, -87.643009 41.834798, -87.6463 41.836965))","[{17031839900: 0.05194257044516332, 17031839800: 0.26326261998252, 17031839700: 0.3993819429852285, 17031600900: 0.09797786287565124}]"
21,"Daley, Richard M. - W. Humboldt","(41.894726658545295, -87.7063841773407)",41.894726658545295,-87.7063841773407,"POLYGON ((-87.706384 41.898901, -87.707147 41.89849, -87.707363 41.897705, -87.709384 41.89698, -87.71086 41.895727, -87.709987 41.893124, -87.706384 41.890636, -87.703938 41.892281, -87.702049 41.895727, -87.704384 41.897053, -87.705091 41.896434, -87.705593 41.896518, -87.705765 41.898346, -87.706384 41.898901))","[{17031836700: 0.20405259455973943, 17031242700: 0.0012219625064400692, 17031836600: 0.1916146850299706}]"
