,BRANCH,LOCATION,LATITUDE,LONGITUDE,geometry,list of dict
52,North Austin,"(41.909444834238485, -87.76898326931509)",41.909444834238485,-87.76898326931509,"POLYGON ((-87.767983 41.912654, -87.770807 41.912445, -87.774291 41.909445, -87.772983 41.908052, -87.768983 41.905833, -87.767983 41.905846, -87.765983 41.907198, -87.763661 41.909445, -87.766983 41.912361, -87.767983 41.912654))","[{17031250600: 0.2792539293306836, 17031250700: 0.030636112152846014, 17031250400: 0.1502799099264924, 17031250300: 0.02553184655186447}]"
53,North Pulaski,"(41.90989766464456, -87.73376822625004)",41.90989766464456,-87.73376822625004,"POLYGON ((-87.732768 41.913442, -87.733768 41.913547, -87.737768 41.911778, -87.739112 41.909898, -87.736768 41.907674, -87.733768 41.905857, -87.730859 41.906988, -87.72839 41.909898, -87.732768 41.913442))","[{17031230600: 0.22288535020957304, 17031230500: 0.43632159781938956}]"
54,Northtown,"(42.00507612272344, -87.69021903022175)",42.00507612272344,-87.69021903022175,"POLYGON ((-87.690219 42.009268, -87.691219 42.008925, -87.695445 42.005076, -87.694887 42.004076, -87.690219 42.000982, -87.687177 42.003034, -87.686467 42.004324, -87.685004 42.005076, -87.685667 42.006076, -87.690219 42.009268))","[{17031020500: 0.12000934464907084, 17031020302: 0.18745809883761785, 17031020400: 0.19480500343480422, 17031020602: 0.23345914994363656}]"
55,Oriole Park,"(41.978098111742476, -87.81420029973704)",41.978098111742476,-87.81420029973704,"POLYGON ((-87.8142 41.981843, -87.815082 41.98098, -87.8172 41.980573, -87.817927 41.979098, -87.819088 41.978098, -87.818485 41.977098, -87.8142 41.973948, -87.8122 41.975122, -87.8102 41.97703, -87.809239 41.977137, -87.810058 41.979098, -87.8142 41.981843))","[{17031770901: 0.0021792870416529582, 17031100500: 0.2057244244680223}]"
56,Portage-Cragin,"(41.93883597361448, -87.75467117455794)",41.93883597361448,-87.75467117455794,"POLYGON ((-87.753671 41.942353, -87.754671 41.94263, -87.759891 41.938836, -87.758222 41.936836, -87.753671 41.934842, -87.749145 41.938836, -87.753671 41.942353))","[{17031190300: 0.06798097587601695, 17031190200: 0.2557225268394995, 17031151100: 0.05731488017118714, 17031151001: 0.4357018298585705, 17031151002: 0.042455156514124}]"
57,Pullman,"(41.69436481773882, -87.6181414059763)",41.69436481773882,-87.6181414059763,"POLYGON ((-87.618141 41.696847, -87.619141 41.694595, -87.620654 41.693365, -87.620901 41.692365, -87.618141 41.690096, -87.617141 41.690397, -87.614725 41.692365, -87.616292 41.693516, -87.613652 41.694365, -87.615852 41.695654, -87.61745 41.696057, -87.618141 41.696847))","[{17031491400: 0.10412963400593088, 17031490901: 0.16586291050660731}]"
58,Roden,"(41.99199760467718, -87.79820642998901)",41.99199760467718,-87.79820642998901,"POLYGON ((-87.798206 41.995358, -87.800206 41.994391, -87.802458 41.994249, -87.802195 41.990998, -87.800622 41.989582, -87.797206 41.989734, -87.794206 41.989329, -87.793822 41.989998, -87.794461 41.993743, -87.796206 41.994771, -87.797206 41.993753, -87.797581 41.994998, -87.798206 41.995358))","[{17031100300: 0.04704725158057933, 17031100200: 0.1211133954938353}]"
59,Rogers Park,"(42.00682227244734, -87.67330813329413)",42.00682227244734,-87.67330813329413,"POLYGON ((-87.672308 42.010155, -87.674308 42.010753, -87.675308 42.010309, -87.678206 42.006822, -87.676482 42.004649, -87.672308 42.002751, -87.671308 42.003155, -87.668085 42.006822, -87.672308 42.010155))","[{17031010701: 0.18390341256169493, 17031830600: 0.14764825728462944, 17031010600: 0.07696855035293869, 17031010702: 0.6280584504814564}]"
60,Scottsdale,"(41.74928543110801, -87.72440869132882)",41.74928543110801,-87.72440869132882,"POLYGON ((-87.722409 41.752482, -87.725866 41.752285, -87.727207 41.750084, -87.729513 41.749285, -87.725578 41.746116, -87.722421 41.746285, -87.722409 41.747307, -87.721409 41.746968, -87.720768 41.748645, -87.718931 41.749285, -87.722409 41.752482))","[{17031700401: 0.0201670837460895, 17031700301: 0.10886890005332545, 17031700200: 0.12108417609924414}]"
61,Sherman Park,"(41.79476901885989, -87.65502837616037)",41.79476901885989,-87.65502837616037,"POLYGON ((-87.655028 41.798992, -87.656391 41.798131, -87.656863 41.795604, -87.659028 41.795381, -87.659939 41.793769, -87.655028 41.790832, -87.650327 41.793769, -87.650379 41.794769, -87.653028 41.796502, -87.655028 41.798992))","[{17031670200: 0.001535528777162381, 17031670100: 0.27012180046875595, 17031680500: 0.23463936514372705, 17031611900: 0.15783626968466527, 17031612000: 0.2946130633015697}]"
62,South Chicago,"(41.73029771500594, -87.54972658730712)",41.73029771500594,-87.54972658730712,"POLYGON ((-87.549727 41.734466, -87.553043 41.732298, -87.553641 41.731212, -87.554888 41.730298, -87.551727 41.727298, -87.549727 41.726235, -87.546727 41.728168, -87.54453 41.730298, -87.54645 41.732298, -87.548038 41.732987, -87.549727 41.734466))","[{17031461000: 0.317430163298821, 17031833900: 0.32247412487945476, 17031460800: 0.00934759836380985}]"
63,South Shore,"(41.76254141905116, -87.56387694448408)",41.76254141905116,-87.56387694448408,"POLYGON ((-87.564877 41.765708, -87.5662 41.765864, -87.568878 41.762541, -87.566877 41.760338, -87.564877 41.759047, -87.562877 41.758527, -87.560586 41.759541, -87.559577 41.764541, -87.560877 41.765039, -87.561877 41.764508, -87.562877 41.765248, -87.564877 41.765708))","[{17031431400: 0.07233988777836378, 17031431302: 0.3554843312175511, 17031430800: 0.09657785654906144, 17031430600: 0.09479824211317572, 17031430700: 0.6938697366296006}]"
64,Sulzer Regional,"(41.962966859427524, -87.68469465366664)",41.962966859427524,-87.68469465366664,"POLYGON ((-87.683695 41.966336, -87.68556 41.966102, -87.686695 41.966728, -87.68726 41.966532, -87.689931 41.962967, -87.68807 41.960967, -87.683695 41.95907, -87.682695 41.959262, -87.680952 41.960967, -87.681649 41.961967, -87.680009 41.962967, -87.68055 41.963967, -87.683695 41.966336))","[{17031050200: 0.1457336278176092, 17031040800: 0.06917663550998432, 17031040900: 0.8014132547160663, 17031040600: 0.2001225137562273}]"
65,Thurgood Marshall,"(41.757343880012456, -87.6540643783153)",41.757343880012456,-87.6540643783153,"POLYGON ((-87.654064 41.761603, -87.656012 41.760344, -87.657064 41.759083, -87.657224 41.758184, -87.655939 41.757218, -87.657543 41.756344, -87.657091 41.755318, -87.654064 41.753143, -87.651064 41.754966, -87.648737 41.757344, -87.649064 41.757867, -87.650384 41.758024, -87.651064 41.759941, -87.654064 41.761603))","[{17031671800: 0.24341878140495887, 17031710200: 0.31983847927883524, 17031681400: 0.13146545101450938}]"
66,Toman,"(41.842086096760674, -87.72463965526215)",41.842086096760674,-87.72463965526215,"POLYGON ((-87.72464 41.846298, -87.729075 41.843086, -87.729367 41.842086, -87.728016 41.841086, -87.727874 41.840086, -87.72464 41.837844, -87.722051 41.839497, -87.719709 41.842086, -87.72164 41.844511, -87.72464 41.846298))","[{17031301702: 0.1370802102182996, 17031301803: 0.3481968815157504, 17031301701: 0.41041902363101396, 17031301802: 0.28489598080837264, 17031300500: 0.11289393112424327}]"
67,Uptown,"(41.95832305807637, -87.65424744448335)",41.95832305807637,-87.65424744448335,"POLYGON ((-87.654247 41.962324, -87.655247 41.962185, -87.657515 41.960323, -87.657947 41.958323, -87.657431 41.95614, -87.655078 41.955493, -87.654247 41.954539, -87.653247 41.955327, -87.651235 41.955311, -87.650279 41.957323, -87.648828 41.958323, -87.649524 41.959046, -87.653247 41.960863, -87.654247 41.962324))","[{17031031400: 0.004945687327683052, 17031032100: 0.7129626267706344, 17031830700: 0.07780578206032499, 17031031502: 0.020198210960392825}]"
68,Vodak-East Side,"(41.70283443594318, -87.61428978448026)",41.70283443594318,-87.61428978448026,"POLYGON ((-87.61329 41.706596, -87.61529 41.706618, -87.618563 41.703834, -87.617714 41.702834, -87.618338 41.701882, -87.61791 41.701214, -87.61529 41.699302, -87.61329 41.699064, -87.610304 41.701834, -87.611048 41.702834, -87.610049 41.703834, -87.61329 41.706596))","[{17031490901: 0.009791567624763024, 17031490902: 0.3271518777293179}]"
69,Walker,"(41.69198346617567, -87.6739093032301)",41.69198346617567,-87.6739093032301,"POLYGON ((-87.673909 41.695906, -87.674668 41.694742, -87.67819 41.693264, -87.679749 41.691983, -87.677063 41.68983, -87.675909 41.689599, -87.674909 41.688152, -87.673042 41.689116, -87.671846 41.68892, -87.6683 41.690983, -87.669115 41.693983, -87.669909 41.694497, -87.671909 41.694841, -87.672909 41.694273, -87.673909 41.695906))","[{17031750500: 0.08789280364801128, 17031750200: 0.1728105027478657}]"
70,Water Works,"(41.897484072390675, -87.62337776811282)",41.897484072390675,-87.62337776811282,"POLYGON ((-87.622378 41.900519, -87.624378 41.9011, -87.627378 41.899389, -87.628575 41.897484, -87.627937 41.896484, -87.624378 41.893858, -87.620949 41.895055, -87.618632 41.896484, -87.617936 41.897484, -87.621378 41.900467, -87.622378 41.900519))","[{17031081500: 0.18104234060395727, 17031081401: 0.3263474539112047, 17031081300: 0.7423678348298517, 17031081201: 0.6618143769803215, 17031081100: 0.017741319172011355, 17031081202: 0.07872144179513746}]"
71,West Belmont,"(41.9366521886413, -87.78602401236114)",41.9366521886413,-87.78602401236114,"POLYGON ((-87.786024 41.940932, -87.790936 41.936652, -87.788024 41.933788, -87.786024 41.932448, -87.782437 41.934652, -87.782251 41.935879, -87.781024 41.935861, -87.780305 41.936652, -87.782213 41.938652, -87.786024 41.940932))","[{17031831500: 0.17953962249238606, 17031180100: 0.00046273965272788936, 17031190401: 0.2794251637765243, 17031171000: 0.0249991385565777, 17031171100: 0.079814516614237}]"
72,West Chicago Avenue,"(41.8950961032908, -87.74806072822989)",41.8950961032908,-87.74806072822989,"POLYGON ((-87.748061 41.899156, -87.751061 41.897352, -87.753404 41.895096, -87.75132 41.893096, -87.748061 41.891285, -87.743358 41.894096, -87.742692 41.895096, -87.748061 41.899156))","[{17031251600: 0.19888255114465211, 17031251700: 0.22176159995763461, 17031251100: 0.21936022016272125, 17031251000: 0.24315458795102043}]"
73,West Englewood,"(41.77928203936906, -87.66843344429459)",41.77928203936906,-87.66843344429459,"POLYGON ((-87.667433 41.78261, -87.669433 41.78295, -87.671433 41.781133, -87.673158 41.780282, -87.673724 41.779282, -87.669433 41.775571, -87.667433 41.775642, -87.663104 41.779282, -87.664433 41.780756, -87.667433 41.78261))","[{17031671300: 0.18532493957512852, 17031671200: 0.5255757261978133, 17031671100: 0.026762406891514504, 17031670600: 0.25781861987437943, 17031670700: 0.3566672682096888, 17031670800: 0.014191374183627347}]"
74,West Lawn,"(41.77875389246921, -87.72374295317714)",41.77875389246921,-87.72374295317714,"POLYGON ((-87.723743 41.782822, -87.724743 41.782508, -87.729153 41.778754, -87.728479 41.777754, -87.723743 41.774693, -87.72179 41.775754, -87.718355 41.778754, -87.720743 41.780369, -87.721816 41.779681, -87.721761 41.781736, -87.723743 41.782822))","[{17031650301: 0.14378213554733127, 17031650302: 0.10977936453214675, 17031650200: 0.15454176124704394, 17031650100: 0.09463369677175472}]"
75,West Loop,"(41.8837105009142, -87.6545650515331)",41.8837105009142,-87.6545650515331,"POLYGON ((-87.653565 41.886995, -87.654565 41.887616, -87.656449 41.886594, -87.658963 41.884711, -87.65933 41.883711, -87.659062 41.882711, -87.657439 41.881836, -87.656459 41.880711, -87.654565 41.879809, -87.651565 41.881387, -87.649981 41.882711, -87.649701 41.883711, -87.649761 41.884711, -87.653565 41.886995))","[{17031833100: 0.06436667576119344, 17031833000: 0.2830910049066297}]"
76,West Pullman,"(41.67790647382097, -87.6431683153105)",41.67790647382097,-87.6431683153105,"POLYGON ((-87.642168 41.681266, -87.645168 41.680612, -87.64613 41.679906, -87.646029 41.678767, -87.647168 41.679226, -87.648726 41.677906, -87.64691 41.677165, -87.646168 41.675966, -87.644168 41.674559, -87.643168 41.675427, -87.642168 41.674409, -87.640529 41.674906, -87.637786 41.677906, -87.642168 41.681266))","[{17031530400: 0.0918500236428569, 17031530501: 0.05756085610875302, 17031530300: 0.10653593298186369, 17031530200: 0.04973720560840618}]"
77,West Town,"(41.89594730478282, -87.66829305460979)",41.89594730478282,-87.66829305460979,"POLYGON ((-87.667293 41.899448, -87.670293 41.8991, -87.673724 41.895947, -87.670293 41.893183, -87.668293 41.892909, -87.667293 41.892349, -87.666129 41.892947, -87.663058 41.895947, -87.663594 41.896947, -87.667293 41.899448))","[{17031243100: 0.02980340076829326, 17031243300: 0.25087989482945233, 17031243200: 0.38377896242370607, 17031242200: 0.02889878472989352, 17031242100: 0.38637998198263956, 17031242000: 0.22798721503259536}]"
78,"Whitney M. Young, Jr.","(41.7510184591363, -87.61495065361933)",41.7510184591363,-87.61495065361933,"POLYGON ((-87.614951 41.75509, -87.616951 41.753945, -87.620271 41.751018, -87.61701 41.747959, -87.614951 41.746749, -87.611951 41.74879, -87.609605 41.751018, -87.610951 41.752601, -87.612951 41.753691, -87.613951 41.754805, -87.614951 41.75509))","[{17031440300: 0.09273338664328809, 17031691300: 0.16226495276206035, 17031440201: 0.22473318589876526, 17031691400: 0.1677890029378536}]"
79,Woodson Regional Library,"(41.720694885749005, -87.64304817213312)",41.720694885749005,-87.64304817213312,"POLYGON ((-87.643048 41.724733, -87.64744 41.721695, -87.646612 41.720695, -87.646229 41.718695, -87.643048 41.716556, -87.642048 41.716872, -87.639048 41.719467, -87.638511 41.721695, -87.643048 41.724733))","[{17031730500: 0.11148406556499087, 17031730100: 0.11673556678207628, 17031730202: 0.07376892316579226, 17031730400: 0.09123616707252634}]"
80,Wrightwood-Ashburn,"(41.73795704970435, -87.70221598421591)",41.73795704970435,-87.70221598421591,"POLYGON ((-87.702216 41.742195, -87.707581 41.737957, -87.706488 41.737685, -87.706216 41.736643, -87.704123 41.73605, -87.703926 41.734957, -87.702216 41.734075, -87.699155 41.735896, -87.700437 41.736737, -87.700382 41.738123, -87.699216 41.737871, -87.69795 41.738957, -87.702216 41.742195))","[{17031700402: 0.16789071495640318, 17031700401: 0.001647121007450219, 17031821600: 0.292634916201899, 17031700502: 0.0839164280554351, 17031700501: 6.371240184731695e-05}]"
