,BRANCH,LOCATION,geometry,LATITUDE,LONGITUDE
0,Albany Park,"(41.97557881655979, -87.71361314512697)","MULTIPOLYGON (((-87.708114 41.980078, -87.707169 41.979023, -87.705701 41.978579, -87.705728 41.977464, -87.705206 41.977579, -87.705226 41.978191, -87.704613 41.9786, -87.702768 41.977424, -87.702613 41.976357, -87.701803 41.976769, -87.700791 41.976579, -87.70017 41.975579, -87.703994 41.971959, -87.706613 41.97052, -87.709613 41.967708, -87.710613 41.967106, -87.711613 41.967458, -87.712613 41.966048, -87.713613 41.965514, -87.721613 41.971341, -87.723613 41.972236, -87.727188 41.975579, -87.723776202021 41.975782929521785, -87.725027 41.975579, -87.722164 41.973028, -87.719613 41.972659, -87.720051 41.971579, -87.717755 41.970437, -87.716184 41.968579, -87.713613 41.967082, -87.710613 41.96858, -87.702126 41.975579, -87.703103 41.976089, -87.703613 41.977018, -87.705789 41.977403, -87.706487 41.978579, -87.707389 41.978803, -87.70834 41.979852, -87.708613 41.980947, -87.713613 41.984129, -87.716613 41.982571, -87.717613 41.981066, -87.72086 41.978826, -87.7209795554563 41.97775636022605, -87.72133 41.978579, -87.721053 41.980018, -87.719392 41.981579, -87.717613 41.98252, -87.716613 41.984029, -87.713613 41.985631, -87.708613 41.982571, -87.708114 41.980078)), ((-87.719536 41.976502, -87.72010077067533 41.97694663305361, -87.719613 41.976845, -87.719513 41.976478, -87.71962032875551 41.976460501169534, -87.719536 41.976502)))",41.97557881655979,-87.71361314512697
1,Altgeld,"(41.65719847558056, -87.59883829075173)","MULTIPOLYGON (((-87.594838 41.660228, -87.596977 41.66106, -87.598288 41.660648, -87.59871968250968 41.660096231264895, -87.597838 41.662594, -87.597157 41.661879, -87.594506 41.66153, -87.592544 41.659493, -87.592313 41.657198, -87.590838 41.657171, -87.590078 41.655959, -87.588458 41.655198, -87.589838 41.65352, -87.590838 41.653623, -87.591838 41.654427, -87.593838 41.654364, -87.594189 41.653549, -87.594838 41.653374, -87.598838 41.653324, -87.599838 41.651652, -87.601838 41.65235, -87.602445 41.651806, -87.60280015187489 41.65177132616297, -87.602236 41.652596, -87.600162 41.652522, -87.598838 41.653366, -87.594838 41.653469, -87.593838 41.654445, -87.590838 41.654817, -87.590456 41.655198, -87.591103 41.655934, -87.592996 41.656041, -87.593452 41.658585, -87.594838 41.660228)), ((-87.606838 41.653989, -87.605838 41.654308, -87.604551 41.652485, -87.60293246695524 41.651758408107746, -87.603838 41.65167, -87.605828 41.652198, -87.605838 41.653552, -87.607342 41.653695, -87.60917 41.655198, -87.608547 41.656198, -87.609066 41.657198, -87.608278 41.657638, -87.607838 41.658604, -87.607121 41.657916, -87.605753 41.658113, -87.606582 41.659198, -87.605454 41.659814, -87.59872942195959 41.6600837824771, -87.598838 41.659945, -87.600479 41.659839, -87.600853 41.659198, -87.602007 41.65903, -87.602838 41.659828, -87.604838 41.659507, -87.605441 41.657801, -87.607271 41.657198, -87.607657 41.656198, -87.606838 41.653989)))",41.65719847558056,-87.59883829075173
2,Archer Heights,"(41.80110836194246, -87.72648385568911)","POLYGON ((-87.737141 41.801108, -87.737145 41.802108, -87.736237 41.802861, -87.735881 41.804505, -87.734254 41.804879, -87.733522 41.806108, -87.729484 41.809542, -87.727484 41.810769, -87.726484 41.810867, -87.724484 41.810195, -87.723484 41.809931, -87.720484 41.807898, -87.719232 41.80836, -87.715757 41.807108, -87.716528 41.805108, -87.716196 41.804108, -87.717748 41.803373, -87.719484 41.80328, -87.719627 41.802108, -87.718484 41.801837, -87.717484 41.802215, -87.715496 41.801108, -87.716168 41.799792, -87.722169 41.793793, -87.723484 41.79326, -87.724484 41.794317, -87.728484 41.792159, -87.73247 41.795108, -87.73229 41.796302, -87.732726 41.796351, -87.733484 41.795173, -87.737525 41.798067, -87.739703 41.799108, -87.73816 41.799785, -87.737141 41.801108), (-87.717371 41.806221, -87.718828 41.806765, -87.72089 41.806702, -87.723484 41.808404, -87.726484 41.809327, -87.727484 41.809216, -87.734948 41.803572, -87.737513 41.800079, -87.737575 41.799108, -87.733484 41.796575, -87.732484 41.796857, -87.732009 41.796584, -87.731484 41.795501, -87.728484 41.793623, -87.724918 41.795542, -87.723484 41.794787, -87.722484 41.795068, -87.717354 41.801108, -87.719056 41.801536, -87.719685 41.802108, -87.719625 41.80325, -87.718012 41.803637, -87.717614 41.804108, -87.717371 41.806221))",41.80110836194246,-87.72648385568911
3,Austin,"(41.88917312206642, -87.7658203582574)","POLYGON ((-87.775813 41.890173, -87.77652 41.888173, -87.76682 41.881225, -87.76582 41.881507, -87.76482 41.880904, -87.76282 41.882147, -87.76182 41.88347, -87.75982 41.884169, -87.75682 41.886565, -87.754721 41.889173, -87.75706996566521 41.89143366844837, -87.75332622913201 41.888837819522344, -87.75482 41.886362, -87.75982 41.882797, -87.76082 41.882526, -87.76282 41.880556, -87.76482 41.879311, -87.76582 41.879868, -87.76682 41.879746, -87.774521 41.885173, -87.775477 41.886516, -87.77682 41.887047, -87.777843 41.888173, -87.777062 41.889173, -87.777517 41.890173, -87.776943 41.891173, -87.775644 41.890997, -87.775759 41.892173, -87.77348 41.894173, -87.76682 41.898801, -87.76582 41.899041, -87.76482 41.898603, -87.76069690220065 41.89569026046575, -87.761426 41.895096, -87.76126580159415 41.8947440887478, -87.76482 41.897281, -87.76682 41.897393, -87.772719 41.893173, -87.775813 41.890173))",41.88917312206642,-87.7658203582574
4,Austin-Irving,"(41.95312267684315, -87.77928489355646)","POLYGON ((-87.788914 41.950494, -87.791285 41.951466, -87.792587 41.953123, -87.788222 41.956059, -87.788073 41.957123, -87.786036 41.958123, -87.784285 41.959856, -87.783881 41.959719, -87.784037 41.960123, -87.782939 41.961123, -87.779285 41.963142, -87.766364 41.954123, -87.765702 41.953123, -87.776285 41.944762, -87.779285 41.943193, -87.782047 41.945361, -87.784285 41.946245, -87.787394 41.949014, -87.788218 41.94919, -87.788914 41.950494), (-87.779285 41.961671, -87.782285 41.959995, -87.783122 41.957959, -87.784285 41.958163, -87.785993 41.957123, -87.786483 41.956321, -87.790581 41.953123, -87.789285 41.951667, -87.787127 41.95128, -87.787229 41.950123, -87.786285 41.949298, -87.783127 41.947123, -87.780903 41.946123, -87.779285 41.944588, -87.776285 41.946198, -87.767722 41.953123, -87.768474 41.954123, -87.779285 41.961671))",41.95312267684315,-87.77928489355646
5,Avalon,"(41.746393038286826, -87.5860053710736)","POLYGON ((-87.582844 41.737393, -87.585005 41.736114, -87.586005 41.73604, -87.588005 41.737327, -87.591005 41.740176, -87.592005 41.740492, -87.598802 41.745393, -87.597298 41.746685, -87.597 41.748393, -87.594508 41.750393, -87.594005 41.75194, -87.59083 41.754218, -87.590614 41.755002, -87.588005 41.755663, -87.586005 41.756756, -87.579489 41.752393, -87.578875 41.751393, -87.574558 41.748393, -87.575234 41.744393, -87.576121 41.743509, -87.575015 41.742393, -87.575317 41.741705, -87.577054 41.741442, -87.578005 41.740509, -87.580005 41.739966, -87.582844 41.737393), (-87.586005 41.737442, -87.585005 41.737508, -87.580005 41.741697, -87.577005 41.74268, -87.576736 41.743393, -87.577311 41.744699, -87.576435 41.746393, -87.576687 41.748393, -87.580005 41.750616, -87.581125 41.750393, -87.581354 41.752393, -87.585005 41.754811, -87.586005 41.755296, -87.587005 41.754058, -87.589005 41.754271, -87.589523 41.75291, -87.592416 41.751393, -87.59234 41.750393, -87.594886 41.748393, -87.596462 41.746393, -87.596336 41.745393, -87.594711 41.743687, -87.594005 41.743238, -87.593005 41.743725, -87.592659 41.742739, -87.591005 41.741911, -87.589005 41.739623, -87.586005 41.737442))",41.746393038286826,-87.5860053710736
6,Back of the Yards,"(41.808384423666354, -87.67756963874196)","MULTIPOLYGON (((-87.690575 41.807379, -87.691299 41.808384, -87.686568 41.812383, -87.68357 41.814175, -87.680014 41.81194, -87.679792 41.811384, -87.68039705440641 41.81078030526641, -87.680169 41.811785, -87.681752 41.812567, -87.682447 41.812262, -87.682614 41.81134, -87.682796 41.812158, -87.68357 41.812545, -87.68557 41.811606, -87.689225 41.808384, -87.684507 41.804384, -87.68192 41.804034, -87.680287 41.804667, -87.67957 41.801568, -87.67657 41.800154, -87.673494 41.802384, -87.671957 41.804771, -87.67057 41.80474, -87.665941 41.808384, -87.66757 41.810297, -87.67157 41.8129, -87.67257 41.813372, -87.67386 41.812675, -87.67474116153129 41.812715358543414, -87.672981 41.813796, -87.67257 41.814851, -87.67157 41.814459, -87.66557 41.809935, -87.664459 41.809495, -87.663807 41.808384, -87.66857 41.805082, -87.670178 41.803384, -87.672208 41.803023, -87.67257 41.801782, -87.675565 41.79938, -87.67757 41.799278, -87.677952 41.800002, -87.680007 41.800947, -87.680389 41.804565, -87.68357 41.80287, -87.68457 41.803108, -87.686711 41.805243, -87.687687 41.805384, -87.690575 41.807379)), ((-87.680714 41.809384, -87.680682 41.80952497614675, -87.680682 41.809384, -87.67966761368343 41.809301112402146, -87.679671 41.809283, -87.680714 41.809384)), ((-87.678264 41.812078, -87.678487 41.811302, -87.679324 41.811139, -87.67959990370949 41.809663272954424, -87.679373 41.811187, -87.678503 41.811318, -87.678335 41.81215, -87.67780791798106 41.81209018927445, -87.678264 41.812078)), ((-87.67557 41.81215, -87.67566621247958 41.8121474286197, -87.67534545906244 41.8123443534097, -87.67557 41.81215)))",41.808384423666354,-87.67756963874196
7,Beverly,"(41.72118978926962, -87.67214620967468)","POLYGON ((-87.678221 41.71519, -87.678744 41.71619, -87.682146 41.717927, -87.685921 41.72119, -87.683378 41.72319, -87.682432 41.723476, -87.680146 41.725644, -87.678826 41.725869, -87.677146 41.727996, -87.675146 41.728636, -87.674146 41.729555, -87.673146 41.72858, -87.672146 41.729528, -87.669146 41.729419, -87.668146 41.728858, -87.66746275374557 41.72890309425279, -87.66695429462699 41.72856334186976, -87.665503 41.725833, -87.664146 41.724597, -87.663146 41.725284, -87.662146 41.725062, -87.658141 41.72219, -87.657415 41.72119, -87.66001 41.719053, -87.661327 41.71937, -87.661034 41.71819, -87.662146 41.716659, -87.663146 41.716717, -87.665146 41.714809, -87.665807 41.715529, -87.666377 41.71542, -87.668146 41.713163, -87.672146 41.71108, -87.674864 41.713472, -87.676146 41.713762, -87.678221 41.71519), (-87.665146 41.71758, -87.66402 41.717064, -87.659636 41.72119, -87.660102 41.72219, -87.662146 41.72348, -87.665135 41.72419, -87.666146 41.726509, -87.669146 41.728202, -87.671146 41.728356, -87.672146 41.726798, -87.673146 41.727119, -87.674146 41.728131, -87.675146 41.72676, -87.676146 41.726954, -87.676578 41.726621, -87.678936 41.723979, -87.680146 41.724121, -87.683746 41.72119, -87.681146 41.718785, -87.680146 41.718429, -87.672146 41.71252, -87.668146 41.714654, -87.665146 41.71758))",41.72118978926962,-87.67214620967468
8,Bezazian,"(41.97155143669217, -87.66095347964183)","POLYGON ((-87.669303 41.968551, -87.66175351023082 41.96352132196576, -87.66263931338588 41.96253709623792, -87.671299 41.968551, -87.67041 41.970551, -87.671824 41.971551, -87.67089 41.972551, -87.671781 41.973551, -87.668748 41.976346, -87.667953 41.976533, -87.664953 41.978892, -87.663953 41.978551, -87.662953 41.978721, -87.659953 41.980884, -87.658418 41.979551, -87.655953 41.978408, -87.648799 41.972551, -87.649411 41.972009, -87.649736 41.969551, -87.652413 41.967551, -87.65288483786615 41.96689202643778, -87.6538369587033 41.96782724000486, -87.650476 41.970551, -87.649897 41.971495, -87.650751 41.972754, -87.655953 41.9769, -87.658953 41.978751, -87.659953 41.979332, -87.662953 41.977158, -87.663953 41.976968, -87.664953 41.977346, -87.66999 41.973551, -87.669927 41.971551, -87.668402 41.970551, -87.669303 41.968551))",41.97155143669217,-87.66095347964183
9,Blackstone,"(41.80549277198318, -87.58923748614112)","POLYGON ((-87.586135 41.807595, -87.584237 41.805799, -87.583237 41.806089, -87.582351 41.804379, -87.581237 41.804318, -87.580538 41.803493, -87.581219 41.802474, -87.581986 41.802744, -87.582414 41.802493, -87.582434 41.801296, -87.581504 41.799493, -87.581833 41.799089, -87.585237 41.796596, -87.586237 41.797894, -87.587237 41.79569, -87.589237 41.796304, -87.591237 41.798303, -87.592237 41.798238, -87.593237 41.799375, -87.597237 41.801666, -87.600158 41.804493, -87.602063 41.805493, -87.601803 41.806493, -87.600174 41.807493, -87.59945 41.809493, -87.596895 41.812151, -87.596543 41.813798, -87.594547 41.813802, -87.593237 41.813263, -87.592237 41.813735, -87.589464 41.811267, -87.588922 41.811177, -87.588237 41.811808, -87.587528 41.811202, -87.587503 41.810493, -87.588497 41.809493, -87.588106 41.807625, -87.587237 41.807225, -87.586135 41.807595), (-87.592395 41.811335, -87.592771 41.811959, -87.594237 41.812666, -87.595455 41.812493, -87.595927 41.811182, -87.597524 41.809493, -87.597815 41.80807, -87.599676 41.806493, -87.599906 41.805493, -87.598237 41.804459, -87.597237 41.803008, -87.594413 41.801493, -87.592237 41.799582, -87.587237 41.797138, -87.586237 41.798694, -87.585237 41.798152, -87.583338 41.799593, -87.582462 41.802717, -87.581436 41.803493, -87.583895 41.804835, -87.585237 41.806436, -87.586237 41.806872, -87.587554 41.806809, -87.588237 41.806054, -87.588417 41.807313, -87.58929 41.807546, -87.58803 41.8107, -87.589668 41.811062, -87.591237 41.812346, -87.592395 41.811335))",41.80549277198318,-87.58923748614112
